new_formula,composition_vector,is_superconductor
La2Mg1Ni2,"[57, 2.0, 12, 1.0, 28, 2.0]",1
Ce2Mg1Ni2,"[58, 2.0, 12, 1.0, 28, 2.0]",1
Pr2Mg1Ni2,"[59, 2.0, 12, 1.0, 28, 2.0]",1
Nd2Mg1Ni2,"[60, 2.0, 12, 1.0, 28, 2.0]",1
Gd2Mg1Ni2,"[64, 2.0, 12, 1.0, 28, 2.0]",1
Tb2Mg1Ni2,"[65, 2.0, 12, 1.0, 28, 2.0]",1
Dy2Mg1Ni2,"[66, 2.0, 12, 1.0, 28, 2.0]",1
Ho2Mg1Ni2,"[67, 2.0, 12, 1.0, 28, 2.0]",1
Er2Mg1Ni2,"[68, 2.0, 12, 1.0, 28, 2.0]",1
Tm2Mg1Ni2,"[69, 2.0, 12, 1.0, 28, 2.0]",1
Y1Mg1Ni4,"[39, 1.0, 12, 1.0, 28, 4.0]",1
La1Mg1Ni4,"[57, 1.0, 12, 1.0, 28, 4.0]",1
Ce1Mg1Ni4,"[58, 1.0, 12, 1.0, 28, 4.0]",1
Pr1Mg1Ni4,"[59, 1.0, 12, 1.0, 28, 4.0]",1
Nd1Mg1Ni4,"[60, 1.0, 12, 1.0, 28, 4.0]",1
Gd1Mg1Ni4,"[64, 1.0, 12, 1.0, 28, 4.0]",1
Y1Mg1Cu1,"[39, 1.0, 12, 1.0, 29, 1.0]",1
Mg1Cu1Sn1,"[12, 1.0, 29, 1.0, 50, 1.0]",1
Mg1Cu1Sb1,"[12, 1.0, 29, 1.0, 51, 1.0]",1
La1Mg1Cu1,"[57, 1.0, 12, 1.0, 29, 1.0]",1
Mg1Cu2,"[12, 1.0, 29, 2.0]",1
Y2Mg1Cu2,"[39, 2.0, 12, 1.0, 29, 2.0]",1
La1Mg1Cu2,"[57, 1.0, 12, 1.0, 29, 2.0]",1
La2Mg1Cu2,"[57, 2.0, 12, 1.0, 29, 2.0]",1
Pr2Mg1Cu2,"[59, 2.0, 12, 1.0, 29, 2.0]",1
Nd2Mg1Cu2,"[60, 2.0, 12, 1.0, 29, 2.0]",1
Sm2Mg1Cu2,"[62, 2.0, 12, 1.0, 29, 2.0]",1
Tb2Mg1Cu2,"[65, 2.0, 12, 1.0, 29, 2.0]",1
Dy2Mg1Cu2,"[66, 2.0, 12, 1.0, 29, 2.0]",1
Ho2Mg1Cu2,"[67, 2.0, 12, 1.0, 29, 2.0]",1
Er2Mg1Cu2,"[68, 2.0, 12, 1.0, 29, 2.0]",1
Tm2Mg1Cu2,"[69, 2.0, 12, 1.0, 29, 2.0]",1
Y1Mg1Cu4,"[39, 1.0, 12, 1.0, 29, 4.0]",1
Mg1In1Cu4,"[12, 1.0, 49, 1.0, 29, 4.0]",1
Mg1Cu4Sn1,"[12, 1.0, 29, 4.0, 50, 1.0]",1
Nd1Mg1Cu4,"[60, 1.0, 12, 1.0, 29, 4.0]",1
Y1Mg1Zn1,"[39, 1.0, 12, 1.0, 30, 1.0]",1
Mg1Zn1Ag2,"[12, 1.0, 30, 1.0, 47, 2.0]",1
Mg1Zn2,"[12, 1.0, 30, 2.0]",1
Ce1Mg1Zn2,"[58, 1.0, 12, 1.0, 30, 2.0]",1
Mg1Ga1,"[12, 1.0, 31, 1.0]",1
Y1Mg1Ga1,"[39, 1.0, 12, 1.0, 31, 1.0]",1
La1Mg1Ga1,"[57, 1.0, 12, 1.0, 31, 1.0]",1
Ce1Mg1Ga1,"[58, 1.0, 12, 1.0, 31, 1.0]",1
Pr1Mg1Ga1,"[59, 1.0, 12, 1.0, 31, 1.0]",1
Nd1Mg1Ga1,"[60, 1.0, 12, 1.0, 31, 1.0]",1
Sm1Mg1Ga1,"[62, 1.0, 12, 1.0, 31, 1.0]",1
Gd1Mg1Ga1,"[64, 1.0, 12, 1.0, 31, 1.0]",1
Tb1Mg1Ga1,"[65, 1.0, 12, 1.0, 31, 1.0]",1
Dy1Mg1Ga1,"[66, 1.0, 12, 1.0, 31, 1.0]",1
Ho1Mg1Ga1,"[67, 1.0, 12, 1.0, 31, 1.0]",1
Er1Mg1Ga1,"[68, 1.0, 12, 1.0, 31, 1.0]",1
Tm1Mg1Ga1,"[69, 1.0, 12, 1.0, 31, 1.0]",1
Mg1Ga1Au1,"[12, 1.0, 31, 1.0, 79, 1.0]",0
Mg1Ga1Au2,"[12, 1.0, 31, 1.0, 79, 2.0]",0
Sr1Mg1Ge1,"[38, 1.0, 12, 1.0, 32, 1.0]",1
Ba1Mg1Ge1,"[56, 1.0, 12, 1.0, 32, 1.0]",1
Eu1Mg1Ge1,"[63, 1.0, 12, 1.0, 32, 1.0]",1
Y2Mg1Ge2,"[39, 2.0, 12, 1.0, 32, 2.0]",1
Ce2Mg1Ge2,"[58, 2.0, 12, 1.0, 32, 2.0]",1
Pr2Mg1Ge2,"[59, 2.0, 12, 1.0, 32, 2.0]",1
Nd2Mg1Ge2,"[60, 2.0, 12, 1.0, 32, 2.0]",1
Sm2Mg1Ge2,"[62, 2.0, 12, 1.0, 32, 2.0]",1
Gd2Mg1Ge2,"[64, 2.0, 12, 1.0, 32, 2.0]",1
Tb2Mg1Ge2,"[65, 2.0, 12, 1.0, 32, 2.0]",1
Dy2Mg1Ge2,"[66, 2.0, 12, 1.0, 32, 2.0]",1
Ho2Mg1Ge2,"[67, 2.0, 12, 1.0, 32, 2.0]",1
Er2Mg1Ge2,"[68, 2.0, 12, 1.0, 32, 2.0]",1
Tm2Mg1Ge2,"[69, 2.0, 12, 1.0, 32, 2.0]",1
Lu2Mg1Ge2,"[71, 2.0, 12, 1.0, 32, 2.0]",1
Cs2Mg1Ge3Se8,"[55, 2.0, 12, 1.0, 32, 3.0, 34, 8.0]",1
Ba2Mg1Ge4Ir4,"[56, 2.0, 12, 1.0, 32, 4.0, 77, 4.0]",0
Lu4Mg1Ge4,"[71, 4.0, 12, 1.0, 32, 4.0]",1
Y5Mg13Cu5,"[39, 5.0, 12, 13.0, 29, 5.0]",1
Sm3Mg13Zn30,"[62, 3.0, 12, 13.0, 30, 30.0]",1
Mg1As1Pt5,"[12, 1.0, 33, 1.0, 78, 5.0]",0
Mg1As4,"[12, 1.0, 33, 4.0]",1
Mg1Se1,"[12, 1.0, 34, 1.0]",1
Mg1U8Se17,"[12, 1.0, 92, 8.0, 34, 17.0]",1
Mg1Se2,"[12, 1.0, 34, 2.0]",1
Lu2Mg1Se4,"[71, 2.0, 12, 1.0, 34, 4.0]",1
Cs2Mg1Sn3Se8,"[55, 2.0, 12, 1.0, 50, 3.0, 34, 8.0]",1
Mg1Br2,"[12, 1.0, 35, 2.0]",1
Cs1Mg1Br3,"[55, 1.0, 12, 1.0, 35, 3.0]",1
Mg13Au41,"[12, 13.0, 79, 41.0]",1
Sr1Mg1In3,"[38, 1.0, 12, 1.0, 49, 3.0]",1
Sr1Mg1Sn1,"[38, 1.0, 12, 1.0, 50, 1.0]",1
Sr1Mg1Pt1,"[38, 1.0, 12, 1.0, 78, 1.0]",1
Sr1Mg1Pb1,"[38, 1.0, 12, 1.0, 82, 1.0]",1
Y1Mg1,"[39, 1.0, 12, 1.0]",1
Y1Mg1Pd1,"[39, 1.0, 12, 1.0, 46, 1.0]",1
Y1Mg1Ag1,"[39, 1.0, 12, 1.0, 47, 1.0]",1
Y1Mg1In1,"[39, 1.0, 12, 1.0, 49, 1.0]",1
Y1Mg1Au1,"[39, 1.0, 12, 1.0, 79, 1.0]",0
Y1Mg1Tl1,"[39, 1.0, 12, 1.0, 81, 1.0]",1
Y4Mg1Rh1,"[39, 4.0, 12, 1.0, 45, 1.0]",1
Y4Mg1Ir1,"[39, 4.0, 12, 1.0, 77, 1.0]",1
Y4Mg1Pt1,"[39, 4.0, 12, 1.0, 78, 1.0]",1
Mg1Sn4Ru1,"[12, 1.0, 50, 4.0, 44, 1.0]",1
La4Mg1Ru1,"[57, 4.0, 12, 1.0, 44, 1.0]",1
Pr4Mg1Ru1,"[59, 4.0, 12, 1.0, 44, 1.0]",1
Nd4Mg1Ru1,"[60, 4.0, 12, 1.0, 44, 1.0]",1
Sm4Mg1Ru1,"[62, 4.0, 12, 1.0, 44, 1.0]",1
Gd4Mg1Ru1,"[64, 4.0, 12, 1.0, 44, 1.0]",1
Tb4Mg1Ru1,"[65, 4.0, 12, 1.0, 44, 1.0]",1
Dy4Mg1Ru1,"[66, 4.0, 12, 1.0, 44, 1.0]",1
Ho4Mg1Ru1,"[67, 4.0, 12, 1.0, 44, 1.0]",1
Mg1Rh1,"[12, 1.0, 45, 1.0]",1
Ce1Mg1In3Rh1,"[58, 1.0, 12, 1.0, 49, 3.0, 45, 1.0]",1
La1Mg1Rh1,"[57, 1.0, 12, 1.0, 45, 1.0]",1
La4Mg1Rh1,"[57, 4.0, 12, 1.0, 45, 1.0]",1
Ce1Mg1Rh1,"[58, 1.0, 12, 1.0, 45, 1.0]",1
Pr1Mg1Rh1,"[59, 1.0, 12, 1.0, 45, 1.0]",1
Pr4Mg1Rh1,"[59, 4.0, 12, 1.0, 45, 1.0]",1
Nd1Mg1Rh1,"[60, 1.0, 12, 1.0, 45, 1.0]",1
Nd4Mg1Rh1,"[60, 4.0, 12, 1.0, 45, 1.0]",1
Sm4Mg1Rh1,"[62, 4.0, 12, 1.0, 45, 1.0]",1
Gd4Mg1Rh1,"[64, 4.0, 12, 1.0, 45, 1.0]",1
Tb4Mg1Rh1,"[65, 4.0, 12, 1.0, 45, 1.0]",1
Dy4Mg1Rh1,"[66, 4.0, 12, 1.0, 45, 1.0]",1
Ho4Mg1Rh1,"[67, 4.0, 12, 1.0, 45, 1.0]",1
Er4Mg1Rh1,"[68, 4.0, 12, 1.0, 45, 1.0]",1
Tm4Mg1Rh1,"[69, 4.0, 12, 1.0, 45, 1.0]",1
Lu4Mg1Rh1,"[71, 4.0, 12, 1.0, 45, 1.0]",1
Mg1Pd1,"[12, 1.0, 46, 1.0]",1
Mg1Sb1Pd1,"[12, 1.0, 51, 1.0, 46, 1.0]",1
La1Mg1Pd1,"[57, 1.0, 12, 1.0, 46, 1.0]",1
Ce1Mg1Pd1,"[58, 1.0, 12, 1.0, 46, 1.0]",1
Pr1Mg1Pd1,"[59, 1.0, 12, 1.0, 46, 1.0]",1
Nd1Mg1Pd1,"[60, 1.0, 12, 1.0, 46, 1.0]",1
Sm1Mg1Pd1,"[62, 1.0, 12, 1.0, 46, 1.0]",1
Eu1Mg1Pd1,"[63, 1.0, 12, 1.0, 46, 1.0]",1
Gd1Mg1Pd1,"[64, 1.0, 12, 1.0, 46, 1.0]",1
Tb1Mg1Pd1,"[65, 1.0, 12, 1.0, 46, 1.0]",1
Dy1Mg1Pd1,"[66, 1.0, 12, 1.0, 46, 1.0]",0
Ho1Mg1Pd1,"[67, 1.0, 12, 1.0, 46, 1.0]",1
Er1Mg1Pd1,"[68, 1.0, 12, 1.0, 46, 1.0]",1
Tm1Mg1Pd1,"[69, 1.0, 12, 1.0, 46, 1.0]",1
Mg1Pd2,"[12, 1.0, 46, 2.0]",1
Dy2Mg1Pd2,"[66, 2.0, 12, 1.0, 46, 2.0]",1
Mg1Pd3,"[12, 1.0, 46, 3.0]",1
Mg1Ag1,"[12, 1.0, 47, 1.0]",1
Mg1Ag1Sb1,"[12, 1.0, 47, 1.0, 51, 1.0]",1
La1Mg1Ag1,"[57, 1.0, 12, 1.0, 47, 1.0]",1
Pr1Mg1Ag1,"[59, 1.0, 12, 1.0, 47, 1.0]",1
