new_formula,composition_vector,is_superconductor
Sr1Ca1Si1,"[38, 1.0, 20, 1.0, 14, 1.0]",1
Ca1Si1Pd1,"[20, 1.0, 14, 1.0, 46, 1.0]",1
Ba1Ca1Si1,"[56, 1.0, 20, 1.0, 14, 1.0]",1
Ca1Si1Pt1,"[20, 1.0, 14, 1.0, 78, 1.0]",1
Ca2Si1,"[20, 2.0, 14, 1.0]",1
Ca2Si1Se4,"[20, 2.0, 14, 1.0, 34, 4.0]",1
Ca2Si1Ir2,"[20, 2.0, 14, 1.0, 77, 2.0]",1
Ca1Mg1Ni1H4,"[20, 1.0, 12, 1.0, 28, 1.0, 1, 4.0]",1
Cs2Ca1H4,"[55, 2.0, 20, 1.0, 1, 4.0]",1
Ca3Si2P4,"[20, 3.0, 14, 2.0, 15, 4.0]",1
Ca1Si2,"[20, 1.0, 14, 2.0]",1
Ca1Co2Si2,"[20, 1.0, 27, 2.0, 14, 2.0]",1
Ca1Si2Ni2,"[20, 1.0, 14, 2.0, 28, 2.0]",1
Ca1Cu2Si2,"[20, 1.0, 29, 2.0, 14, 2.0]",1
Ca1Si2Rh2,"[20, 1.0, 14, 2.0, 45, 2.0]",1
Ca1Si2Pd2,"[20, 1.0, 14, 2.0, 46, 2.0]",1
Ca1Si2Au2,"[20, 1.0, 14, 2.0, 79, 2.0]",0
Ca3Si2Ni3,"[20, 3.0, 14, 2.0, 28, 3.0]",1
Ca3Si2As4,"[20, 3.0, 14, 2.0, 33, 4.0]",1
Ca10Si3Pt7,"[20, 10.0, 14, 3.0, 78, 7.0]",1
Ca1Si3Ir1,"[20, 1.0, 14, 3.0, 77, 1.0]",0
Ca1Si3Pt1,"[20, 1.0, 14, 3.0, 78, 1.0]",0
Ca2Si3Ag1,"[20, 2.0, 14, 3.0, 47, 1.0]",1
Ca4Si3Pd4,"[20, 4.0, 14, 3.0, 46, 4.0]",1
Ca5Si3,"[20, 5.0, 14, 3.0]",1
Ca3Si4Ir4,"[20, 3.0, 14, 4.0, 77, 4.0]",1
Ca2Si5Pt3,"[20, 2.0, 14, 5.0, 78, 3.0]",1
Ca2B3H4Cl1O8,"[20, 2.0, 5, 3.0, 1, 4.0, 17, 1.0, 8, 8.0]",1
Ca1B8H4O15,"[20, 1.0, 5, 8.0, 1, 4.0, 8, 15.0]",1
Ca1P6H4N12,"[20, 1.0, 15, 6.0, 1, 4.0, 7, 12.0]",1
Ca1H4N1Cl1O5,"[20, 1.0, 1, 4.0, 7, 1.0, 17, 1.0, 8, 5.0]",1
Ca1Si7Ir3,"[20, 1.0, 14, 7.0, 77, 3.0]",1
Ca1H4N2,"[20, 1.0, 1, 4.0, 7, 2.0]",1
Ca2Mg1As2H4O10,"[20, 2.0, 12, 1.0, 33, 2.0, 1, 4.0, 8, 10.0]",1
Ca2Mn1As2H4O10,"[20, 2.0, 25, 1.0, 33, 2.0, 1, 4.0, 8, 10.0]",1
Ca3Si8P14,"[20, 3.0, 14, 8.0, 15, 14.0]",1
Ca1Si1H4O2F6,"[20, 1.0, 14, 1.0, 1, 4.0, 8, 2.0, 9, 6.0]",1
Ca1P2H4O4,"[20, 1.0, 15, 2.0, 1, 4.0, 8, 4.0]",1
Ca1Re1H4Cl1O6,"[20, 1.0, 75, 1.0, 1, 4.0, 17, 1.0, 8, 6.0]",1
Ca1P1S3,"[20, 1.0, 15, 1.0, 16, 3.0]",1
Ca3P1Cl3,"[20, 3.0, 15, 1.0, 17, 3.0]",1
Ca1P1,"[20, 1.0, 15, 1.0]",1
Ca1Cu1P1,"[20, 1.0, 29, 1.0, 15, 1.0]",1
Ca1P1Se3,"[20, 1.0, 15, 1.0, 34, 3.0]",1
Ca1Ag1P1,"[20, 1.0, 47, 1.0, 15, 1.0]",1
Ca1P1Pt1,"[20, 1.0, 15, 1.0, 78, 1.0]",1
Ca1P1Au1,"[20, 1.0, 15, 1.0, 79, 1.0]",0
Ca2P1I1,"[20, 2.0, 15, 1.0, 53, 1.0]",1
Ca3P1I3,"[20, 3.0, 15, 1.0, 53, 3.0]",1
Ca5P12Rh19,"[20, 5.0, 15, 12.0, 45, 19.0]",1
Ca5P12Ir19,"[20, 5.0, 15, 12.0, 77, 19.0]",1
Ca1Al1H5,"[20, 1.0, 13, 1.0, 1, 5.0]",1
Ca1Fe2P2,"[20, 1.0, 26, 2.0, 15, 2.0]",1
Ca1Co2P2,"[20, 1.0, 27, 2.0, 15, 2.0]",1
Ca1Ni2P2,"[20, 1.0, 28, 2.0, 15, 2.0]",1
Ca1Cu4P2,"[20, 1.0, 29, 4.0, 15, 2.0]",1
Ca1Zn2P2,"[20, 1.0, 30, 2.0, 15, 2.0]",1
Ca1Ga2P2,"[20, 1.0, 31, 2.0, 15, 2.0]",1
Ca1P2Ru2,"[20, 1.0, 15, 2.0, 44, 2.0]",1
Ca1P2Rh2,"[20, 1.0, 15, 2.0, 45, 2.0]",1
Ca1P2Pd2,"[20, 1.0, 15, 2.0, 46, 2.0]",1
Ca1Cd2P2,"[20, 1.0, 48, 2.0, 15, 2.0]",1
Ca1In2P2,"[20, 1.0, 49, 2.0, 15, 2.0]",1
Ca1P2Ir2,"[20, 1.0, 15, 2.0, 77, 2.0]",1
Ca2Cd1P2,"[20, 2.0, 48, 1.0, 15, 2.0]",1
Ca1P3,"[20, 1.0, 15, 3.0]",1
Ca2Zn2Cu1P3,"[20, 2.0, 30, 2.0, 29, 1.0, 15, 3.0]",1
Ca3In1P3,"[20, 3.0, 49, 1.0, 15, 3.0]",1
Ca19Mg8H54,"[20, 19.0, 12, 8.0, 1, 54.0]",0
Ca2Ni7P4,"[20, 2.0, 28, 7.0, 15, 4.0]",1
Ca3Zn2Cu2P4,"[20, 3.0, 30, 2.0, 29, 2.0, 15, 4.0]",1
Ca3Ga2P4,"[20, 3.0, 31, 2.0, 15, 4.0]",1
Ca3Ge2P4,"[20, 3.0, 32, 2.0, 15, 4.0]",1
Ca2Cu6P5,"[20, 2.0, 29, 6.0, 15, 5.0]",1
Ca5P6Pd6,"[20, 5.0, 15, 6.0, 46, 6.0]",1
Ca1P2H5N1O7,"[20, 1.0, 15, 2.0, 1, 5.0, 7, 1.0, 8, 7.0]",1
Ca2Co12P7,"[20, 2.0, 27, 12.0, 15, 7.0]",1
Ca4P7Ir8,"[20, 4.0, 15, 7.0, 77, 8.0]",1
Ca5P8,"[20, 5.0, 15, 8.0]",1
Na1Ca1H6Ir1,"[11, 1.0, 20, 1.0, 1, 6.0, 77, 1.0]",1
Ca1S1,"[20, 1.0, 16, 1.0]",1
Ca2Fe1H6,"[20, 2.0, 26, 1.0, 1, 6.0]",1
Ca2H6Ru1,"[20, 2.0, 1, 6.0, 44, 1.0]",1
Ca2H6Os1,"[20, 2.0, 1, 6.0, 76, 1.0]",1
Ca1Sc2S4,"[20, 1.0, 21, 2.0, 16, 4.0]",1
Ca1Ga2S4,"[20, 1.0, 31, 2.0, 16, 4.0]",1
Ca1Y2S4,"[20, 1.0, 39, 2.0, 16, 4.0]",1
Ca1Ho2S4,"[20, 1.0, 67, 2.0, 16, 4.0]",1
Ca1Er2S4,"[20, 1.0, 68, 2.0, 16, 4.0]",1
Ca1Tm2S4,"[20, 1.0, 69, 2.0, 16, 4.0]",1
Ca1Lu2S4,"[20, 1.0, 71, 2.0, 16, 4.0]",1
Ca2Ge1S4,"[20, 2.0, 32, 1.0, 16, 4.0]",1
Ca2Sn1S4,"[20, 2.0, 50, 1.0, 16, 4.0]",1
K1Ca1Er2Cu1S5,"[19, 1.0, 20, 1.0, 68, 2.0, 29, 1.0, 16, 5.0]",1
Ca2Sb2S5,"[20, 2.0, 51, 2.0, 16, 5.0]",1
K1Ca1H6N3,"[19, 1.0, 20, 1.0, 1, 6.0, 7, 3.0]",1
Rb1Ca1H6N3,"[37, 1.0, 20, 1.0, 1, 6.0, 7, 3.0]",1
Ba2Ca1P4H6O16,"[56, 2.0, 20, 1.0, 15, 4.0, 1, 6.0, 8, 16.0]",1
Ca1H6S4O16,"[20, 1.0, 1, 6.0, 16, 4.0, 8, 16.0]",1
Ca2Mn3P3H6O17,"[20, 2.0, 25, 3.0, 15, 3.0, 1, 6.0, 8, 17.0]",1
Ca1Mo6S8,"[20, 1.0, 42, 6.0, 16, 8.0]",1
Ca1As2H6F18,"[20, 1.0, 33, 2.0, 1, 6.0, 9, 18.0]",1
Cs1Ca1Ta6Cl18,"[55, 1.0, 20, 1.0, 73, 6.0, 17, 18.0]",1
Ca1Cl2,"[20, 1.0, 17, 2.0]",1
K1Ca1Cl3,"[19, 1.0, 20, 1.0, 17, 3.0]",1
Cs1Ca1Cl3,"[55, 1.0, 20, 1.0, 17, 3.0]",1
Ca3As1Cl3,"[20, 3.0, 33, 1.0, 17, 3.0]",1
Cs2Ca1Cl4,"[55, 2.0, 20, 1.0, 17, 4.0]",1
Sr1Ca1B11H7O22,"[38, 1.0, 20, 1.0, 5, 11.0, 1, 7.0, 8, 22.0]",1
Cs3Ca2Cl7,"[55, 3.0, 20, 2.0, 17, 7.0]",1
Ca1Np1H7O8,"[20, 1.0, 93, 1.0, 1, 7.0, 8, 8.0]",1
Ca1B2H8,"[20, 1.0, 5, 2.0, 1, 8.0]",1
Na1Ca2Al4H8C4Cl1O20,"[11, 1.0, 20, 2.0, 13, 4.0, 1, 8.0, 6, 4.0, 17, 1.0, 8, 20.0]",1
Ca1H8Cl2O12,"[20, 1.0, 1, 8.0, 17, 2.0, 8, 12.0]",1
Ca1H8Br2O12,"[20, 1.0, 1, 8.0, 35, 2.0, 8, 12.0]",1
K1Ca2Cd2Sb3,"[19, 1.0, 20, 2.0, 48, 2.0, 51, 3.0]",1
Ca1Np1H9O9,"[20, 1.0, 93, 1.0, 1, 9.0, 8, 9.0]",1
Ca1,"[20, 1.0]",1
Ca11Ga1Sb9,"[20, 11.0, 31, 1.0, 51, 9.0]",1
Ca11In1Sb9,"[20, 11.0, 49, 1.0, 51, 9.0]",1
Ca11Sb10,"[20, 11.0, 51, 10.0]",1
Ca11Bi10,"[20, 11.0, 83, 10.0]",1
Ca1Mn2Ge2,"[20, 1.0, 25, 2.0, 32, 2.0]",1
Ca1Fe2As2,"[20, 1.0, 26, 2.0, 33, 2.0]",1
Ca1Fe4Sb12,"[20, 1.0, 26, 4.0, 51, 12.0]",1
Ca1Ga3Co2,"[20, 1.0, 31, 3.0, 27, 2.0]",1
Ca1Co2Ge2,"[20, 1.0, 27, 2.0, 32, 2.0]",1
Ca1Co2As2,"[20, 1.0, 27, 2.0, 33, 2.0]",1
Ca1Ga2Ni1,"[20, 1.0, 31, 2.0, 28, 1.0]",1
Ca1Ni1Ge1,"[20, 1.0, 28, 1.0, 32, 1.0]",1
Ca1Ni1Ge2,"[20, 1.0, 28, 1.0, 32, 2.0]",1
Ca1In2Ni1,"[20, 1.0, 49, 2.0, 28, 1.0]",1
Ca1Ni2,"[20, 1.0, 28, 2.0]",1
Ca1Zn3Ni2,"[20, 1.0, 30, 3.0, 28, 2.0]",1
Ca1Ga3Ni2,"[20, 1.0, 31, 3.0, 28, 2.0]",1
Ca1Ni2Ge2,"[20, 1.0, 28, 2.0, 32, 2.0]",1
Ca1Ni2As2,"[20, 1.0, 28, 2.0, 33, 2.0]",1
Ca1Ni4Sn2,"[20, 1.0, 28, 4.0, 50, 2.0]",1
Ca1Cu1,"[20, 1.0, 29, 1.0]",1
Ca1Cu1Ge1,"[20, 1.0, 29, 1.0, 32, 1.0]",1
Ca1Cu1As1,"[20, 1.0, 29, 1.0, 33, 1.0]",1
Ca1Cu1Sn1,"[20, 1.0, 29, 1.0, 50, 1.0]",1
Ca1Cu1Sb1,"[20, 1.0, 29, 1.0, 51, 1.0]",1
Ca1Cu2Ge2,"[20, 1.0, 29, 2.0, 32, 2.0]",1
Ca1Cu2Sn2,"[20, 1.0, 29, 2.0, 50, 2.0]",1
Ca1Cu4As2,"[20, 1.0, 29, 4.0, 33, 2.0]",1
Ca1Cu5,"[20, 1.0, 29, 5.0]",1
Ca1Zn1,"[20, 1.0, 30, 1.0]",1
Ca1Zn11,"[20, 1.0, 30, 11.0]",1
Ca1Zn1Ge1,"[20, 1.0, 30, 1.0, 32, 1.0]",1
Ca1Zn1Pd1,"[20, 1.0, 30, 1.0, 46, 1.0]",1
Ca1Zn1Sn1,"[20, 1.0, 30, 1.0, 50, 1.0]",1
Ca1Zn2,"[20, 1.0, 30, 2.0]",1
Ca1Zn2As2,"[20, 1.0, 30, 2.0, 33, 2.0]",1
Ca1Zn2Sb2,"[20, 1.0, 30, 2.0, 51, 2.0]",1
Ca1Zn5,"[20, 1.0, 30, 5.0]",1
Ca1Ga1,"[20, 1.0, 31, 1.0]",1
Ca1Ga1Ge1,"[20, 1.0, 31, 1.0, 32, 1.0]",1
Ca1Ga1Pt1,"[20, 1.0, 31, 1.0, 78, 1.0]",0
Ca1Ga1Au1,"[20, 1.0, 31, 1.0, 79, 1.0]",0
Ca1Ga1Au3,"[20, 1.0, 31, 1.0, 79, 3.0]",1
Ca1Ga2,"[20, 1.0, 31, 2.0]",1
Ca1Ga2As2,"[20, 1.0, 31, 2.0, 33, 2.0]",1
Ca1Ga2Se4,"[20, 1.0, 31, 2.0, 34, 4.0]",1
Ca1Ga4,"[20, 1.0, 31, 4.0]",1
Ca1Ge1,"[20, 1.0, 32, 1.0]",1
Sr1Ca1Ge1,"[38, 1.0, 20, 1.0, 32, 1.0]",1
Ca1Ag1Ge1,"[20, 1.0, 47, 1.0, 32, 1.0]",1
Ca1Cd1Ge1,"[20, 1.0, 48, 1.0, 32, 1.0]",1
Ba1Ca1Ge1,"[56, 1.0, 20, 1.0, 32, 1.0]",1
Ca1Ge1Pt1,"[20, 1.0, 32, 1.0, 78, 1.0]",1
Ca1Ge1Au1,"[20, 1.0, 32, 1.0, 79, 1.0]",1
Ca1Ge2,"[20, 1.0, 32, 2.0]",1
Ca1Ge2Ru2,"[20, 1.0, 32, 2.0, 44, 2.0]",1
Ca1Ge2Rh2,"[20, 1.0, 32, 2.0, 45, 2.0]",1
Ca1Ge2Pd2,"[20, 1.0, 32, 2.0, 46, 2.0]",1
Ca1Ge2Ir2,"[20, 1.0, 32, 2.0, 77, 2.0]",0
Ca1Ge2Pt1,"[20, 1.0, 32, 2.0, 78, 1.0]",1
Ca1Ge2Pt2,"[20, 1.0, 32, 2.0, 78, 2.0]",0
Ca1As1,"[20, 1.0, 33, 1.0]",1
Rb1Ca1As1,"[37, 1.0, 20, 1.0, 33, 1.0]",1
Ca1As1Pd1,"[20, 1.0, 33, 1.0, 46, 1.0]",1
Ca1Ag1As1,"[20, 1.0, 47, 1.0, 33, 1.0]",1
Ca1As1Pt1,"[20, 1.0, 33, 1.0, 78, 1.0]",1
Ca1As1Au1,"[20, 1.0, 33, 1.0, 79, 1.0]",1
Ca13Ge22Au50,"[20, 13.0, 32, 22.0, 79, 50.0]",0
Ca1As2Ru2,"[20, 1.0, 33, 2.0, 44, 2.0]",1
Ca1As2Pd2,"[20, 1.0, 33, 2.0, 46, 2.0]",1
Ca1Cd2As2,"[20, 1.0, 48, 2.0, 33, 2.0]",1
Ca1As3,"[20, 1.0, 33, 3.0]",1
Ca1As4Rh6,"[20, 1.0, 33, 4.0, 45, 6.0]",1
Ca1Se1,"[20, 1.0, 34, 1.0]",1
Ca1Br2,"[20, 1.0, 35, 2.0]",1
Ca1In1Br3,"[20, 1.0, 49, 1.0, 35, 3.0]",1
Cs1Ca1Br3,"[55, 1.0, 20, 1.0, 35, 3.0]",1
Ca1Tl1Br3,"[20, 1.0, 81, 1.0, 35, 3.0]",1
Cs2Ca1Br4,"[55, 2.0, 20, 1.0, 35, 4.0]",1
Rb1Ca1Sb1,"[37, 1.0, 20, 1.0, 51, 1.0]",1
Rb1Ca1I3,"[37, 1.0, 20, 1.0, 53, 3.0]",1
Sr1Ca1Sn1,"[38, 1.0, 20, 1.0, 50, 1.0]",1
Sr1Ca1Pb1,"[38, 1.0, 20, 1.0, 82, 1.0]",1
Ca14Mn1Sb11,"[20, 14.0, 25, 1.0, 51, 11.0]",1
Ca14Ga1As11,"[20, 14.0, 31, 1.0, 33, 11.0]",1
Ca1In1Rh1,"[20, 1.0, 49, 1.0, 45, 1.0]",1
Ca1In2Rh1,"[20, 1.0, 49, 2.0, 45, 1.0]",1
Ca1In4Rh1,"[20, 1.0, 49, 4.0, 45, 1.0]",1
Ca1Sn2Rh1,"[20, 1.0, 50, 2.0, 45, 1.0]",1
Ca1Rh2,"[20, 1.0, 45, 2.0]",1
Ca1Cd1Pd1,"[20, 1.0, 48, 1.0, 46, 1.0]",1
Ca1Cd2Pd1,"[20, 1.0, 48, 2.0, 46, 1.0]",1
Ca1In1Pd1,"[20, 1.0, 49, 1.0, 46, 1.0]",1
Ca1In2Pd1,"[20, 1.0, 49, 2.0, 46, 1.0]",1
Ca1Sn1Pd1,"[20, 1.0, 50, 1.0, 46, 1.0]",1
Ca1Sn2Pd1,"[20, 1.0, 50, 2.0, 46, 1.0]",1
Ca1Sb1Pd1,"[20, 1.0, 51, 1.0, 46, 1.0]",1
Ca1Pd1Pb1,"[20, 1.0, 46, 1.0, 82, 1.0]",0
Ca1Bi1Pd1,"[20, 1.0, 83, 1.0, 46, 1.0]",0
