new_formula,composition_vector,is_superconductor
Zr6Al16Ni7,"[40, 6.0, 13, 16.0, 28, 7.0]",1
Ca1Ni1H3,"[20, 1.0, 28, 1.0, 1, 3.0]",1
Sc1Al2Ni1,"[21, 1.0, 13, 2.0, 28, 1.0]",1
Y1Al2Ni1,"[39, 1.0, 13, 2.0, 28, 1.0]",1
Pr1Al2Ni1,"[59, 1.0, 13, 2.0, 28, 1.0]",1
Nd1Al2Ni1,"[60, 1.0, 13, 2.0, 28, 1.0]",1
Sm1Al2Ni1,"[62, 1.0, 13, 2.0, 28, 1.0]",1
Gd1Al2Ni1,"[64, 1.0, 13, 2.0, 28, 1.0]",1
Tb1Al2Ni1,"[65, 1.0, 13, 2.0, 28, 1.0]",1
Dy1Al2Ni1,"[66, 1.0, 13, 2.0, 28, 1.0]",1
Ho1Al2Ni1,"[67, 1.0, 13, 2.0, 28, 1.0]",1
Er1Al2Ni1,"[68, 1.0, 13, 2.0, 28, 1.0]",1
Tm1Al2Ni1,"[69, 1.0, 13, 2.0, 28, 1.0]",1
Lu1Al2Ni1,"[71, 1.0, 13, 2.0, 28, 1.0]",1
Hf6Al2Ni1,"[72, 6.0, 13, 2.0, 28, 1.0]",1
Y3Al2Ni6,"[39, 3.0, 13, 2.0, 28, 6.0]",1
Sm3Al2Ni6,"[62, 3.0, 13, 2.0, 28, 6.0]",1
Gd3Al2Ni6,"[64, 3.0, 13, 2.0, 28, 6.0]",1
Tb3Al2Ni6,"[65, 3.0, 13, 2.0, 28, 6.0]",1
Dy3Al2Ni6,"[66, 3.0, 13, 2.0, 28, 6.0]",1
Ho3Al2Ni6,"[67, 3.0, 13, 2.0, 28, 6.0]",1
Er3Al2Ni6,"[68, 3.0, 13, 2.0, 28, 6.0]",1
Tm3Al2Ni6,"[69, 3.0, 13, 2.0, 28, 6.0]",1
Y4Al23Ni6,"[39, 4.0, 13, 23.0, 28, 6.0]",1
Ce4Al23Ni6,"[58, 4.0, 13, 23.0, 28, 6.0]",1
Sm4Al23Ni6,"[62, 4.0, 13, 23.0, 28, 6.0]",1
Zr1Ni1H3,"[40, 1.0, 28, 1.0, 1, 3.0]",1
Al3Ni1,"[13, 3.0, 28, 1.0]",1
Y3Al3Ni1Ge2,"[39, 3.0, 13, 3.0, 28, 1.0, 32, 2.0]",1
Er3Al3Ni1Ge2,"[68, 3.0, 13, 3.0, 28, 1.0, 32, 2.0]",1
Y1Al3Ni1,"[39, 1.0, 13, 3.0, 28, 1.0]",1
Sm1Al3Ni1,"[62, 1.0, 13, 3.0, 28, 1.0]",1
Al3Ni2,"[13, 3.0, 28, 2.0]",1
Y1Al3Ni2,"[39, 1.0, 13, 3.0, 28, 2.0]",1
La1Al3Ni2,"[57, 1.0, 13, 3.0, 28, 2.0]",1
La5Al3Ni2,"[57, 5.0, 13, 3.0, 28, 2.0]",1
Ce1Al3Ni2,"[58, 1.0, 13, 3.0, 28, 2.0]",1
Nd1Al3Ni2,"[60, 1.0, 13, 3.0, 28, 2.0]",1
Sm1Al3Ni2,"[62, 1.0, 13, 3.0, 28, 2.0]",1
Gd1Al3Ni2,"[64, 1.0, 13, 3.0, 28, 2.0]",1
Tb1Al3Ni2,"[65, 1.0, 13, 3.0, 28, 2.0]",1
Dy1Al3Ni2,"[66, 1.0, 13, 3.0, 28, 2.0]",1
Ho1Al3Ni2,"[67, 1.0, 13, 3.0, 28, 2.0]",1
Er1Al3Ni2,"[68, 1.0, 13, 3.0, 28, 2.0]",1
Tm1Al3Ni2,"[69, 1.0, 13, 3.0, 28, 2.0]",1
Lu1Al3Ni2,"[71, 1.0, 13, 3.0, 28, 2.0]",1
Th1Al3Ni2,"[90, 1.0, 13, 3.0, 28, 2.0]",1
Er5Al3Ni3Ge4,"[68, 5.0, 13, 3.0, 28, 3.0, 32, 4.0]",1
Al3Ni5,"[13, 3.0, 28, 5.0]",1
Tb2Al4Ni1Ge2,"[65, 2.0, 13, 4.0, 28, 1.0, 32, 2.0]",1
Er2Al4Ni1Ge2,"[68, 2.0, 13, 4.0, 28, 1.0, 32, 2.0]",1
Y1Al4Ni1,"[39, 1.0, 13, 4.0, 28, 1.0]",1
Ce1Al4Ni1,"[58, 1.0, 13, 4.0, 28, 1.0]",1
Pr1Al4Ni1,"[59, 1.0, 13, 4.0, 28, 1.0]",1
Nd1Al4Ni1,"[60, 1.0, 13, 4.0, 28, 1.0]",1
Sm1Al4Ni1,"[62, 1.0, 13, 4.0, 28, 1.0]",1
Gd1Al4Ni1,"[64, 1.0, 13, 4.0, 28, 1.0]",1
Tb1Al4Ni1,"[65, 1.0, 13, 4.0, 28, 1.0]",1
Dy1Al4Ni1,"[66, 1.0, 13, 4.0, 28, 1.0]",1
Ho1Al4Ni1,"[67, 1.0, 13, 4.0, 28, 1.0]",1
Er1Al4Ni1,"[68, 1.0, 13, 4.0, 28, 1.0]",1
Tm1Al4Ni1,"[69, 1.0, 13, 4.0, 28, 1.0]",1
Lu1Al4Ni1,"[71, 1.0, 13, 4.0, 28, 1.0]",1
Al4Ni3,"[13, 4.0, 28, 3.0]",1
Zr1Al5Ni2,"[40, 1.0, 13, 5.0, 28, 2.0]",1
La1Al5Ni2,"[57, 1.0, 13, 5.0, 28, 2.0]",1
Ce1Al5Ni2,"[58, 1.0, 13, 5.0, 28, 2.0]",1
Pr1Al5Ni2,"[59, 1.0, 13, 5.0, 28, 2.0]",1
Y1Ni1H3S1O7,"[39, 1.0, 28, 1.0, 1, 3.0, 16, 1.0, 8, 7.0]",1
Ca1Al9Ni1,"[20, 1.0, 13, 9.0, 28, 1.0]",1
Gd1Al9Ni3,"[64, 1.0, 13, 9.0, 28, 3.0]",1
