new_formula,composition_vector,is_superconductor
K1H2I3O1,"[19, 1.0, 1, 2.0, 53, 3.0, 8, 1.0]",1
K2Ce1H2S3O13,"[19, 2.0, 58, 1.0, 1, 2.0, 16, 3.0, 8, 13.0]",1
K1Fe3As4H2O16,"[19, 1.0, 26, 3.0, 33, 4.0, 1, 2.0, 8, 16.0]",1
K3Fe3P4H2O17,"[19, 3.0, 26, 3.0, 15, 4.0, 1, 2.0, 8, 17.0]",1
K1Hf1H2O1F5,"[19, 1.0, 72, 1.0, 1, 2.0, 8, 1.0, 9, 5.0]",1
K2V1H2O1F5,"[19, 2.0, 23, 1.0, 1, 2.0, 8, 1.0, 9, 5.0]",1
K2Mn1H2O1F5,"[19, 2.0, 25, 1.0, 1, 2.0, 8, 1.0, 9, 5.0]",1
K2Fe1H2O1F5,"[19, 2.0, 26, 1.0, 1, 2.0, 8, 1.0, 9, 5.0]",1
K1P1H2O2,"[19, 1.0, 15, 1.0, 1, 2.0, 8, 2.0]",1
K5Ce2H2S6O25,"[19, 5.0, 58, 2.0, 1, 2.0, 16, 6.0, 8, 25.0]",1
K1P1H2S1O3,"[19, 1.0, 15, 1.0, 1, 2.0, 16, 1.0, 8, 3.0]",1
K1P1H2O4,"[19, 1.0, 15, 1.0, 1, 2.0, 8, 4.0]",1
K1Ni1P1H2O5,"[19, 1.0, 28, 1.0, 15, 1.0, 1, 2.0, 8, 5.0]",1
K2H2Ru1O5,"[19, 2.0, 1, 2.0, 44, 1.0, 8, 5.0]",1
K3Zr1H2S1O5F5,"[19, 3.0, 40, 1.0, 1, 2.0, 16, 1.0, 8, 5.0, 9, 5.0]",1
K3Np1H2O6,"[19, 3.0, 93, 1.0, 1, 2.0, 8, 6.0]",1
K1Sc1As2H2O8,"[19, 1.0, 21, 1.0, 33, 2.0, 1, 2.0, 8, 8.0]",1
K1Eu1H2S2O9,"[19, 1.0, 63, 1.0, 1, 2.0, 16, 2.0, 8, 9.0]",1
K1Gd1H2S2O9,"[19, 1.0, 64, 1.0, 1, 2.0, 16, 2.0, 8, 9.0]",1
K1Ti2H2F11,"[19, 1.0, 22, 2.0, 1, 2.0, 9, 11.0]",1
K2Cr1H2F8,"[19, 2.0, 24, 1.0, 1, 2.0, 9, 8.0]",1
K3Al1P2,"[19, 3.0, 13, 1.0, 15, 2.0]",1
K1Al1Cl4,"[19, 1.0, 13, 1.0, 17, 4.0]",1
K1Al1Se2,"[19, 1.0, 13, 1.0, 34, 2.0]",1
K1Al1Br4,"[19, 1.0, 13, 1.0, 35, 4.0]",1
K1Al1Sb4,"[19, 1.0, 13, 1.0, 51, 4.0]",1
K1Al1Te2,"[19, 1.0, 13, 1.0, 52, 2.0]",1
K3Al1As2,"[19, 3.0, 13, 1.0, 33, 2.0]",1
K3Al1Se3,"[19, 3.0, 13, 1.0, 34, 3.0]",1
Cs6K3Al1Sb4,"[55, 6.0, 19, 3.0, 13, 1.0, 51, 4.0]",1
K3Al1Te3,"[19, 3.0, 13, 1.0, 52, 3.0]",1
K1Mg1H3,"[19, 1.0, 12, 1.0, 1, 3.0]",1
K1Si1H3,"[19, 1.0, 14, 1.0, 1, 3.0]",1
K1Al2Br7,"[19, 1.0, 13, 2.0, 35, 7.0]",1
K2Al2Sb3,"[19, 2.0, 13, 2.0, 51, 3.0]",1
K3Al2As3,"[19, 3.0, 13, 2.0, 33, 3.0]",1
K4Li1H3S4O16,"[19, 4.0, 3, 1.0, 1, 3.0, 16, 4.0, 8, 16.0]",1
K1Li2H3O3,"[19, 1.0, 3, 2.0, 1, 3.0, 8, 3.0]",1
K3Cu1B2P4H3O17,"[19, 3.0, 29, 1.0, 5, 2.0, 15, 4.0, 1, 3.0, 8, 17.0]",1
K2H3C1O4F1,"[19, 2.0, 1, 3.0, 6, 1.0, 8, 4.0, 9, 1.0]",1
K2H3Ir1N1Cl5,"[19, 2.0, 1, 3.0, 77, 1.0, 7, 1.0, 17, 5.0]",1
K1P1H3N1O3,"[19, 1.0, 15, 1.0, 1, 3.0, 7, 1.0, 8, 3.0]",1
K5Na1P3H3O12,"[19, 5.0, 11, 1.0, 15, 3.0, 1, 3.0, 8, 12.0]",1
K3Ge1H3S3O2,"[19, 3.0, 32, 1.0, 1, 3.0, 16, 3.0, 8, 2.0]",1
K1H3O2,"[19, 1.0, 1, 3.0, 8, 2.0]",1
K1P1H3O4F1,"[19, 1.0, 15, 1.0, 1, 3.0, 8, 4.0, 9, 1.0]",1
K1H3Se2O6,"[19, 1.0, 1, 3.0, 34, 2.0, 8, 6.0]",1
K2P1H3Se1O8,"[19, 2.0, 15, 1.0, 1, 3.0, 34, 1.0, 8, 8.0]",1
K1H3S2O8,"[19, 1.0, 1, 3.0, 16, 2.0, 8, 8.0]",1
K1H3Se2O8,"[19, 1.0, 1, 3.0, 34, 2.0, 8, 8.0]",1
K6Bi1H3Cl8F4,"[19, 6.0, 83, 1.0, 1, 3.0, 17, 8.0, 9, 4.0]",1
K1H3F4,"[19, 1.0, 1, 3.0, 9, 4.0]",1
K2Si1P2,"[19, 2.0, 14, 1.0, 15, 2.0]",1
K1Y1Si1S4,"[19, 1.0, 39, 1.0, 14, 1.0, 16, 4.0]",1
K1La1Si1S4,"[19, 1.0, 57, 1.0, 14, 1.0, 16, 4.0]",1
K1Ce1Si1S4,"[19, 1.0, 58, 1.0, 14, 1.0, 16, 4.0]",1
K1Eu1Si1S4,"[19, 1.0, 63, 1.0, 14, 1.0, 16, 4.0]",1
K1Si1Bi1S4,"[19, 1.0, 14, 1.0, 83, 1.0, 16, 4.0]",1
K1Si1,"[19, 1.0, 14, 1.0]",1
K1La1Si1Se4,"[19, 1.0, 57, 1.0, 14, 1.0, 34, 4.0]",1
K1Pr1Si1Se4,"[19, 1.0, 59, 1.0, 14, 1.0, 34, 4.0]",1
K2Si1As2,"[19, 2.0, 14, 1.0, 33, 2.0]",1
K2Eu1Si1Se5,"[19, 2.0, 63, 1.0, 14, 1.0, 34, 5.0]",1
K3Si1Te3,"[19, 3.0, 14, 1.0, 52, 3.0]",1
K2Mg1H4,"[19, 2.0, 12, 1.0, 1, 4.0]",1
K1Al1H4,"[19, 1.0, 13, 1.0, 1, 4.0]",1
K1Ga1H4,"[19, 1.0, 31, 1.0, 1, 4.0]",1
K2Zn1H4,"[19, 2.0, 30, 1.0, 1, 4.0]",1
K2H4Pd1,"[19, 2.0, 1, 4.0, 46, 1.0]",1
K2H4Pt1,"[19, 2.0, 1, 4.0, 78, 1.0]",1
K10Li1Zr6H4O2F35,"[19, 10.0, 3, 1.0, 40, 6.0, 1, 4.0, 8, 2.0, 9, 35.0]",1
K1Si3As3,"[19, 1.0, 14, 3.0, 33, 3.0]",1
K2Be1H4S2O10,"[19, 2.0, 4, 1.0, 1, 4.0, 16, 2.0, 8, 10.0]",1
K2Be1H4Se2O10,"[19, 2.0, 4, 1.0, 1, 4.0, 34, 2.0, 8, 10.0]",1
K4B10H4O19,"[19, 4.0, 5, 10.0, 1, 4.0, 8, 19.0]",1
K1B1H4,"[19, 1.0, 5, 1.0, 1, 4.0]",1
K1B6P1H4O14,"[19, 1.0, 5, 6.0, 15, 1.0, 1, 4.0, 8, 14.0]",1
K5Zn4Sn5H4S17N1,"[19, 5.0, 30, 4.0, 50, 5.0, 1, 4.0, 16, 17.0, 7, 1.0]",1
K2Si1H4N2O2,"[19, 2.0, 14, 1.0, 1, 4.0, 7, 2.0, 8, 2.0]",1
K4Ge1H4N2O3,"[19, 4.0, 32, 1.0, 1, 4.0, 7, 2.0, 8, 3.0]",1
K1Sm1H4N4O14,"[19, 1.0, 62, 1.0, 1, 4.0, 7, 4.0, 8, 14.0]",1
K2Mg1Mo2H4O10,"[19, 2.0, 12, 1.0, 42, 2.0, 1, 4.0, 8, 10.0]",1
K2Co1H4Se2O10,"[19, 2.0, 27, 1.0, 1, 4.0, 34, 2.0, 8, 10.0]",1
K2Cd1H4Se2O10,"[19, 2.0, 48, 1.0, 1, 4.0, 34, 2.0, 8, 10.0]",1
K1Na1Zr1Si3H4O11,"[19, 1.0, 11, 1.0, 40, 1.0, 14, 3.0, 1, 4.0, 8, 11.0]",1
K2Zn3P4H4O12,"[19, 2.0, 30, 3.0, 15, 4.0, 1, 4.0, 8, 12.0]",1
K1Al1P4H4O14,"[19, 1.0, 13, 1.0, 15, 4.0, 1, 4.0, 8, 14.0]",1
K1Mn1Ga2P3H4O14,"[19, 1.0, 25, 1.0, 31, 2.0, 15, 3.0, 1, 4.0, 8, 14.0]",1
K1Ga2Ni1P3H4O14,"[19, 1.0, 31, 2.0, 28, 1.0, 15, 3.0, 1, 4.0, 8, 14.0]",1
K1Fe1P4H4O14,"[19, 1.0, 26, 1.0, 15, 4.0, 1, 4.0, 8, 14.0]",1
K2Zn1H4I4O14,"[19, 2.0, 30, 1.0, 1, 4.0, 53, 4.0, 8, 14.0]",1
K2Fe3P4H4O16,"[19, 2.0, 26, 3.0, 15, 4.0, 1, 4.0, 8, 16.0]",1
K2Bi1H4Cl5O2,"[19, 2.0, 83, 1.0, 1, 4.0, 17, 5.0, 8, 2.0]",0
K3Na1Np4H4S4O26,"[19, 3.0, 11, 1.0, 93, 4.0, 1, 4.0, 16, 4.0, 8, 26.0]",1
K10Th3P10S36,"[19, 10.0, 90, 3.0, 15, 10.0, 16, 36.0]",1
K3P11,"[19, 3.0, 15, 11.0]",1
K1Nb2P1S10,"[19, 1.0, 41, 2.0, 15, 1.0, 16, 10.0]",1
K1P1S3,"[19, 1.0, 15, 1.0, 16, 3.0]",1
K2P1S3,"[19, 2.0, 15, 1.0, 16, 3.0]",1
K1Ni1P1S4,"[19, 1.0, 28, 1.0, 15, 1.0, 16, 4.0]",1
K1P1Pd1S4,"[19, 1.0, 15, 1.0, 46, 1.0, 16, 4.0]",1
K1Ag2P1S4,"[19, 1.0, 47, 2.0, 15, 1.0, 16, 4.0]",1
K1Sn1P1S4,"[19, 1.0, 50, 1.0, 15, 1.0, 16, 4.0]",1
K1Ba1P1S4,"[19, 1.0, 56, 1.0, 15, 1.0, 16, 4.0]",1
K1Eu1P1S4,"[19, 1.0, 63, 1.0, 15, 1.0, 16, 4.0]",1
K1P1Pb1S4,"[19, 1.0, 15, 1.0, 82, 1.0, 16, 4.0]",1
K2P1Au1S4,"[19, 2.0, 15, 1.0, 79, 1.0, 16, 4.0]",1
K3P1S4,"[19, 3.0, 15, 1.0, 16, 4.0]",1
K1Ti1P1S5,"[19, 1.0, 22, 1.0, 15, 1.0, 16, 5.0]",1
K1Ta1P1S6,"[19, 1.0, 73, 1.0, 15, 1.0, 16, 6.0]",1
K1P1,"[19, 1.0, 15, 1.0]",1
K1Ti1P1Se5,"[19, 1.0, 22, 1.0, 15, 1.0, 34, 5.0]",1
K1Mn1P1,"[19, 1.0, 25, 1.0, 15, 1.0]",1
K1Cu1P1Se3,"[19, 1.0, 29, 1.0, 15, 1.0, 34, 3.0]",1
K1Zn1P1,"[19, 1.0, 30, 1.0, 15, 1.0]",1
K1P1Se3,"[19, 1.0, 15, 1.0, 34, 3.0]",1
K1Ag1P1Se3,"[19, 1.0, 47, 1.0, 15, 1.0, 34, 3.0]",1
K1P1Au1Se3,"[19, 1.0, 15, 1.0, 79, 1.0, 34, 3.0]",0
K1Ba1P1Se4,"[19, 1.0, 56, 1.0, 15, 1.0, 34, 4.0]",1
K1Eu1P1Se4,"[19, 1.0, 63, 1.0, 15, 1.0, 34, 4.0]",1
K1P1Se6,"[19, 1.0, 15, 1.0, 34, 6.0]",1
K2Cu1P1,"[19, 2.0, 29, 1.0, 15, 1.0]",1
K2P1Se3,"[19, 2.0, 15, 1.0, 34, 3.0]",1
K2Ag1P1,"[19, 2.0, 47, 1.0, 15, 1.0]",1
K2P1Au1,"[19, 2.0, 15, 1.0, 79, 1.0]",1
K3P1,"[19, 3.0, 15, 1.0]",1
K3P1Se16,"[19, 3.0, 15, 1.0, 34, 16.0]",1
K3P1Se4,"[19, 3.0, 15, 1.0, 34, 4.0]",1
K1P15,"[19, 1.0, 15, 15.0]",1
K3Zn1H5,"[19, 3.0, 30, 1.0, 1, 5.0]",1
K4P21I1,"[19, 4.0, 15, 21.0, 53, 1.0]",1
K1Sb1P2S6,"[19, 1.0, 51, 1.0, 15, 2.0, 16, 6.0]",1
K1La1P2S6,"[19, 1.0, 57, 1.0, 15, 2.0, 16, 6.0]",1
K1Bi1P2S6,"[19, 1.0, 83, 1.0, 15, 2.0, 16, 6.0]",1
K1Cr1P2S7,"[19, 1.0, 24, 1.0, 15, 2.0, 16, 7.0]",1
K1In1P2S7,"[19, 1.0, 49, 1.0, 15, 2.0, 16, 7.0]",1
K1Sm1P2S7,"[19, 1.0, 62, 1.0, 15, 2.0, 16, 7.0]",1
K1Er1P2S7,"[19, 1.0, 68, 1.0, 15, 2.0, 16, 7.0]",1
K1Bi1P2S7,"[19, 1.0, 83, 1.0, 15, 2.0, 16, 7.0]",1
K1Pu1P2S7,"[19, 1.0, 94, 1.0, 15, 2.0, 16, 7.0]",1
K2In1P2S7,"[19, 2.0, 49, 1.0, 15, 2.0, 16, 7.0]",1
K2La1P2S7,"[19, 2.0, 57, 1.0, 15, 2.0, 16, 7.0]",1
K2Nd1P2S7,"[19, 2.0, 60, 1.0, 15, 2.0, 16, 7.0]",1
K2Sm1P2S7,"[19, 2.0, 62, 1.0, 15, 2.0, 16, 7.0]",1
K3Cu1P2S7,"[19, 3.0, 29, 1.0, 15, 2.0, 16, 7.0]",1
K1P2Au5S8,"[19, 1.0, 15, 2.0, 79, 5.0, 16, 8.0]",1
K3La1P2S8,"[19, 3.0, 57, 1.0, 15, 2.0, 16, 8.0]",1
K3Ce1P2S8,"[19, 3.0, 58, 1.0, 15, 2.0, 16, 8.0]",1
K3Nd1P2S8,"[19, 3.0, 60, 1.0, 15, 2.0, 16, 8.0]",1
K3Bi1P2S8,"[19, 3.0, 83, 1.0, 15, 2.0, 16, 8.0]",0
