new_formula,composition_vector,is_superconductor
Li5H9Pt2,"[3, 5.0, 1, 9.0, 78, 2.0]",0
Li1,"[3, 1.0]",1
Li10Br1N3,"[3, 10.0, 35, 1.0, 7, 3.0]",1
Li10Zn4O9,"[3, 10.0, 30, 4.0, 8, 9.0]",1
Na1Li1S1,"[11, 1.0, 3, 1.0, 16, 1.0]",1
Na1Li1Se1,"[11, 1.0, 3, 1.0, 34, 1.0]",1
Na1Li1Te1,"[11, 1.0, 3, 1.0, 52, 1.0]",1
Na2Li1Al1P2,"[11, 2.0, 3, 1.0, 13, 1.0, 15, 2.0]",1
Na2Li1Ga1As2,"[11, 2.0, 3, 1.0, 31, 1.0, 33, 2.0]",1
Na2Li1Au3,"[11, 2.0, 3, 1.0, 79, 3.0]",0
Li1Ca10Mg1Sb9,"[3, 1.0, 20, 10.0, 12, 1.0, 51, 9.0]",1
Li1Mg1As1,"[3, 1.0, 12, 1.0, 33, 1.0]",1
Li1Mg1Sn1Pd1,"[3, 1.0, 12, 1.0, 50, 1.0, 46, 1.0]",1
Li1Mg1Sn1Pt1,"[3, 1.0, 12, 1.0, 50, 1.0, 78, 1.0]",1
Li1Mg1Sb1,"[3, 1.0, 12, 1.0, 51, 1.0]",1
Li1Mg1Bi1,"[3, 1.0, 12, 1.0, 83, 1.0]",1
Li1Al1,"[3, 1.0, 13, 1.0]",1
Li1Al1Si1,"[3, 1.0, 13, 1.0, 14, 1.0]",1
Li1Al1P2S6,"[3, 1.0, 13, 1.0, 15, 2.0, 16, 6.0]",1
K2Li1Al1P2,"[19, 2.0, 3, 1.0, 13, 1.0, 15, 2.0]",1
Li1Al1S2,"[3, 1.0, 13, 1.0, 16, 2.0]",1
Li1Al1Cl4,"[3, 1.0, 13, 1.0, 17, 4.0]",1
Li1Al1Ge1,"[3, 1.0, 13, 1.0, 32, 1.0]",1
Li1Al1Se2,"[3, 1.0, 13, 1.0, 34, 2.0]",1
Li1Al1Ag2,"[3, 1.0, 13, 1.0, 47, 2.0]",1
Li1Al1Te2,"[3, 1.0, 13, 1.0, 52, 2.0]",1
Li1Al2Rh1,"[3, 1.0, 13, 2.0, 45, 1.0]",1
Li1Al2Pd1,"[3, 1.0, 13, 2.0, 46, 1.0]",1
Li1Al2Ir1,"[3, 1.0, 13, 2.0, 77, 1.0]",1
Li1Al2Pt1,"[3, 1.0, 13, 2.0, 78, 1.0]",1
Li1Si1Ni2,"[3, 1.0, 14, 1.0, 28, 2.0]",1
Li1Cu2Si1,"[3, 1.0, 29, 2.0, 14, 1.0]",1
Li1Y1Si1,"[3, 1.0, 39, 1.0, 14, 1.0]",1
Li1Ca1Si2,"[3, 1.0, 20, 1.0, 14, 2.0]",1
Li1Si2Rh2,"[3, 1.0, 14, 2.0, 45, 2.0]",1
Li1Ce1Si2,"[3, 1.0, 58, 1.0, 14, 2.0]",1
Li1Ca2Si3,"[3, 1.0, 20, 2.0, 14, 3.0]",1
Sr2Li1Si3,"[38, 2.0, 3, 1.0, 14, 3.0]",1
Ba2Li1Si3,"[56, 2.0, 3, 1.0, 14, 3.0]",1
Li1Eu2Si3,"[3, 1.0, 63, 2.0, 14, 3.0]",1
K7Li1Si8,"[19, 7.0, 3, 1.0, 14, 8.0]",1
