new_formula,composition_vector,is_superconductor
B1H6C1N3F4,"[5, 1.0, 1, 6.0, 6, 1.0, 7, 3.0, 9, 4.0]",1
Ba11B26P2H6O58,"[56, 11.0, 5, 26.0, 15, 2.0, 1, 6.0, 8, 58.0]",0
B5H6Br1,"[5, 5.0, 1, 6.0, 35, 1.0]",1
Na1B6H6,"[11, 1.0, 5, 6.0, 1, 6.0]",1
K1B6H6,"[19, 1.0, 5, 6.0, 1, 6.0]",1
Rb1B6H6,"[37, 1.0, 5, 6.0, 1, 6.0]",1
Cs1B6H6,"[55, 1.0, 5, 6.0, 1, 6.0]",1
Tl1B6H6,"[81, 1.0, 5, 6.0, 1, 6.0]",1
Sm1B9H6O18,"[62, 1.0, 5, 9.0, 1, 6.0, 8, 18.0]",1
Sr1Ca1B11H7O22,"[38, 1.0, 20, 1.0, 5, 11.0, 1, 7.0, 8, 22.0]",1
Ba2B11H7O22,"[56, 2.0, 5, 11.0, 1, 7.0, 8, 22.0]",1
B5H7,"[5, 5.0, 1, 7.0]",1
Be1B2H8,"[4, 1.0, 5, 2.0, 1, 8.0]",1
Mg1B2H8,"[12, 1.0, 5, 2.0, 1, 8.0]",1
Ca1B2H8,"[20, 1.0, 5, 2.0, 1, 8.0]",1
Zn1B2H8,"[30, 1.0, 5, 2.0, 1, 8.0]",1
Cd1B2H8,"[48, 1.0, 5, 2.0, 1, 8.0]",1
Cs1V3B2P4H8O22,"[55, 1.0, 23, 3.0, 5, 2.0, 15, 4.0, 1, 8.0, 8, 22.0]",1
K2B4H8O11,"[19, 2.0, 5, 4.0, 1, 8.0, 8, 11.0]",1
K1B5H8O12,"[19, 1.0, 5, 5.0, 1, 8.0, 8, 12.0]",1
Cs1B5H8O12,"[55, 1.0, 5, 5.0, 1, 8.0, 8, 12.0]",1
Sm1B7H8O16,"[62, 1.0, 5, 7.0, 1, 8.0, 8, 16.0]",1
Li1Be1B1,"[3, 1.0, 4, 1.0, 5, 1.0]",1
Sr2Li1Be1B3O8,"[38, 2.0, 3, 1.0, 4, 1.0, 5, 3.0, 8, 8.0]",1
Li14Be6B9O27,"[3, 14.0, 4, 6.0, 5, 9.0, 8, 27.0]",0
Li1B1,"[3, 1.0, 5, 1.0]",1
Li1Si2B1,"[3, 1.0, 14, 2.0, 5, 1.0]",1
Ba1Li1B1S3,"[56, 1.0, 3, 1.0, 5, 1.0, 16, 3.0]",1
Li1Al1B14,"[3, 1.0, 13, 1.0, 5, 14.0]",1
Li1B1C1,"[3, 1.0, 5, 1.0, 6, 1.0]",1
Li1B1Ir1,"[3, 1.0, 5, 1.0, 77, 1.0]",1
Li1B1Pt3,"[3, 1.0, 5, 1.0, 78, 3.0]",1
Li1B1S4O14,"[3, 1.0, 5, 1.0, 16, 4.0, 8, 14.0]",1
Li1B1O2,"[3, 1.0, 5, 1.0, 8, 2.0]",1
K2Li1B1O3,"[19, 2.0, 3, 1.0, 5, 1.0, 8, 3.0]",1
Li1Ca1B1O3,"[3, 1.0, 20, 1.0, 5, 1.0, 8, 3.0]",1
Sr1Li1B1O3,"[38, 1.0, 3, 1.0, 5, 1.0, 8, 3.0]",1
Li1Cd1B1O3,"[3, 1.0, 48, 1.0, 5, 1.0, 8, 3.0]",1
Ba1Li1B1O3,"[56, 1.0, 3, 1.0, 5, 1.0, 8, 3.0]",1
K2Li1B1P2O8,"[19, 2.0, 3, 1.0, 5, 1.0, 15, 2.0, 8, 8.0]",1
Li1B1S2O8,"[3, 1.0, 5, 1.0, 16, 2.0, 8, 8.0]",1
Li1B1F4,"[3, 1.0, 5, 1.0, 9, 4.0]",1
Rb2Li1Nd1B2O6,"[37, 2.0, 3, 1.0, 60, 1.0, 5, 2.0, 8, 6.0]",1
Cs2Li1Nd1B2O6,"[55, 2.0, 3, 1.0, 60, 1.0, 5, 2.0, 8, 6.0]",1
Sr1Li1B3S6,"[38, 1.0, 3, 1.0, 5, 3.0, 16, 6.0]",1
Ba1Li1B3S6,"[56, 1.0, 3, 1.0, 5, 3.0, 16, 6.0]",1
Li1Ca4B3N6,"[3, 1.0, 20, 4.0, 5, 3.0, 7, 6.0]",1
Sr4Li1B3N6,"[38, 4.0, 3, 1.0, 5, 3.0, 7, 6.0]",1
Li1Eu4B3N6,"[3, 1.0, 63, 4.0, 5, 3.0, 7, 6.0]",1
Li1Nd6B3O13F2,"[3, 1.0, 60, 6.0, 5, 3.0, 8, 13.0, 9, 2.0]",1
Li1Pr6B3O14,"[3, 1.0, 59, 6.0, 5, 3.0, 8, 14.0]",1
Li1Nd6B3O14,"[3, 1.0, 60, 6.0, 5, 3.0, 8, 14.0]",1
Li1Sm6B3O14,"[3, 1.0, 62, 6.0, 5, 3.0, 8, 14.0]",1
Li1Tb6B3O14,"[3, 1.0, 65, 6.0, 5, 3.0, 8, 14.0]",1
Li1Dy6B3O14,"[3, 1.0, 66, 6.0, 5, 3.0, 8, 14.0]",1
Li1Tm6B3O14,"[3, 1.0, 69, 6.0, 5, 3.0, 8, 14.0]",1
Na1Li1B4O7,"[11, 1.0, 3, 1.0, 5, 4.0, 8, 7.0]",1
K1Li1B4O7,"[19, 1.0, 3, 1.0, 5, 4.0, 8, 7.0]",1
Rb1Li1B4O7,"[37, 1.0, 3, 1.0, 5, 4.0, 8, 7.0]",1
Ba2Li1B5O10,"[56, 2.0, 3, 1.0, 5, 5.0, 8, 10.0]",1
Na2Li1B5P2O14,"[11, 2.0, 3, 1.0, 5, 5.0, 15, 2.0, 8, 14.0]",1
Li1Si1B6,"[3, 1.0, 14, 1.0, 5, 6.0]",1
Li1B6C1,"[3, 1.0, 5, 6.0, 6, 1.0]",1
Li1B6O9F1,"[3, 1.0, 5, 6.0, 8, 9.0, 9, 1.0]",1
Sr1Li1B9O15,"[38, 1.0, 3, 1.0, 5, 9.0, 8, 15.0]",1
Ba1Li1B9O15,"[56, 1.0, 3, 1.0, 5, 9.0, 8, 15.0]",1
Cs1Li2B1S3,"[55, 1.0, 3, 2.0, 5, 1.0, 16, 3.0]",1
Li2Mg10B12Rh19,"[3, 2.0, 12, 10.0, 5, 12.0, 45, 19.0]",1
Li2B1Pd3,"[3, 2.0, 5, 1.0, 46, 3.0]",1
Li2B1Pt3,"[3, 2.0, 5, 1.0, 78, 3.0]",1
Na1Li2B1O3,"[11, 1.0, 3, 2.0, 5, 1.0, 8, 3.0]",1
K1Li2B1O3,"[19, 1.0, 3, 2.0, 5, 1.0, 8, 3.0]",1
Na1Li2B1P2O8,"[11, 1.0, 3, 2.0, 5, 1.0, 15, 2.0, 8, 8.0]",1
Li2B2S5,"[3, 2.0, 5, 2.0, 16, 5.0]",1
Li2B2Se5,"[3, 2.0, 5, 2.0, 34, 5.0]",1
Li2B2Rh3,"[3, 2.0, 5, 2.0, 45, 3.0]",1
Cs2Li2B2P4O15,"[55, 2.0, 3, 2.0, 5, 2.0, 15, 4.0, 8, 15.0]",1
Cs3Na1Li2B2O6,"[55, 3.0, 11, 1.0, 3, 2.0, 5, 2.0, 8, 6.0]",1
Li2B3O4F3,"[3, 2.0, 5, 3.0, 8, 4.0, 9, 3.0]",1
Li2B3P1O8,"[3, 2.0, 5, 3.0, 15, 1.0, 8, 8.0]",1
Li2Al1B5O10,"[3, 2.0, 13, 1.0, 5, 5.0, 8, 10.0]",1
Cs1Li2Gd4B5O15,"[55, 1.0, 3, 2.0, 64, 4.0, 5, 5.0, 8, 15.0]",1
K3Ba3Li2Al4B6O20F1,"[19, 3.0, 56, 3.0, 3, 2.0, 13, 4.0, 5, 6.0, 8, 20.0, 9, 1.0]",1
Li2B6O9F2,"[3, 2.0, 5, 6.0, 8, 9.0, 9, 2.0]",1
Li2B8Se1O15,"[3, 2.0, 5, 8.0, 34, 1.0, 8, 15.0]",1
Li3B1S3,"[3, 3.0, 5, 1.0, 16, 3.0]",1
Li3B11O18,"[3, 3.0, 5, 11.0, 8, 18.0]",1
Li3B1N2,"[3, 3.0, 5, 1.0, 7, 2.0]",1
K2Li3B1P4O14,"[19, 2.0, 3, 3.0, 5, 1.0, 15, 4.0, 8, 14.0]",1
Rb2Li3B1P4O14,"[37, 2.0, 3, 3.0, 5, 1.0, 15, 4.0, 8, 14.0]",1
Li3B1O3,"[3, 3.0, 5, 1.0, 8, 3.0]",1
Li3Gd1B2O6,"[3, 3.0, 64, 1.0, 5, 2.0, 8, 6.0]",1
Cs2Sr2Li3B3P6O24,"[55, 2.0, 38, 2.0, 3, 3.0, 5, 3.0, 15, 6.0, 8, 24.0]",1
Cs2Li3B3P6Pb2O24,"[55, 2.0, 3, 3.0, 5, 3.0, 15, 6.0, 82, 2.0, 8, 24.0]",0
Li3Pr2B3O9,"[3, 3.0, 59, 2.0, 5, 3.0, 8, 9.0]",1
Ba1Na1Li3B6O12,"[56, 1.0, 11, 1.0, 3, 3.0, 5, 6.0, 8, 12.0]",1
Li3B7O12,"[3, 3.0, 5, 7.0, 8, 12.0]",1
K9Li3Nd3B7O21,"[19, 9.0, 3, 3.0, 60, 3.0, 5, 7.0, 8, 21.0]",0
Li4Ca1B2O6,"[3, 4.0, 20, 1.0, 5, 2.0, 8, 6.0]",1
Cs3Li4B7O14,"[55, 3.0, 3, 4.0, 5, 7.0, 8, 14.0]",1
Cs1Li5B2O6,"[55, 1.0, 3, 5.0, 5, 2.0, 8, 6.0]",1
Na4Li5B3O9,"[11, 4.0, 3, 5.0, 5, 3.0, 8, 9.0]",1
Li6Y1B3O9,"[3, 6.0, 39, 1.0, 5, 3.0, 8, 9.0]",1
Li6Nd1B3O9,"[3, 6.0, 60, 1.0, 5, 3.0, 8, 9.0]",1
Li6Sm1B3O9,"[3, 6.0, 62, 1.0, 5, 3.0, 8, 9.0]",1
Li6Ho1B3O9,"[3, 6.0, 67, 1.0, 5, 3.0, 8, 9.0]",1
Li6Er1B3O9,"[3, 6.0, 68, 1.0, 5, 3.0, 8, 9.0]",1
Li6Tm1B3O9,"[3, 6.0, 69, 1.0, 5, 3.0, 8, 9.0]",1
Be1Al1B1,"[4, 1.0, 13, 1.0, 5, 1.0]",1
Mg2Be1B2Ir5,"[12, 2.0, 4, 1.0, 5, 2.0, 77, 5.0]",0
Sc2Be1B2Ir5,"[21, 2.0, 4, 1.0, 5, 2.0, 77, 5.0]",1
Na2Be1B2O5,"[11, 2.0, 4, 1.0, 5, 2.0, 8, 5.0]",1
Sr1Be1B2O5,"[38, 1.0, 4, 1.0, 5, 2.0, 8, 5.0]",1
Sr3Be1B6O13,"[38, 3.0, 4, 1.0, 5, 6.0, 8, 13.0]",1
Be2B1O3F1,"[4, 2.0, 5, 1.0, 8, 3.0, 9, 1.0]",1
K1Be2B1O3F2,"[19, 1.0, 4, 2.0, 5, 1.0, 8, 3.0, 9, 2.0]",1
Cs1Be2B1O3F2,"[55, 1.0, 4, 2.0, 5, 1.0, 8, 3.0, 9, 2.0]",1
Ba1Be2B2O6,"[56, 1.0, 4, 2.0, 5, 2.0, 8, 6.0]",1
Y1Be2B5O11,"[39, 1.0, 4, 2.0, 5, 5.0, 8, 11.0]",1
Gd1Be2B5O11,"[64, 1.0, 4, 2.0, 5, 5.0, 8, 11.0]",1
Be4B1,"[4, 4.0, 5, 1.0]",1
Rb1Be4B3O9,"[37, 1.0, 4, 4.0, 5, 3.0, 8, 9.0]",1
Cs1Be4B3O9,"[55, 1.0, 4, 4.0, 5, 3.0, 8, 9.0]",1
B1,"[5, 1.0]",1
La3Co29Si4B10,"[57, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Ce3Co29Si4B10,"[58, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Pr3Co29Si4B10,"[59, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Nd3Co29Si4B10,"[60, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Sm3Co29Si4B10,"[62, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",0
Gd3Co29Si4B10,"[64, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Tb3Co29Si4B10,"[65, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Er3Co29Si4B10,"[68, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Tm3Co29Si4B10,"[69, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Lu3Co29Si4B10,"[71, 3.0, 27, 29.0, 14, 4.0, 5, 10.0]",1
Th2Fe1B10,"[90, 2.0, 26, 1.0, 5, 10.0]",1
Th2Co1B10,"[90, 2.0, 27, 1.0, 5, 10.0]",1
Y2Ni1B10,"[39, 2.0, 28, 1.0, 5, 10.0]",1
Ce2Ni1B10,"[58, 2.0, 28, 1.0, 5, 10.0]",1
Pr2Ni1B10,"[59, 2.0, 28, 1.0, 5, 10.0]",1
Nd2Ni1B10,"[60, 2.0, 28, 1.0, 5, 10.0]",1
Sm2Ni1B10,"[62, 2.0, 28, 1.0, 5, 10.0]",1
Gd2Ni1B10,"[64, 2.0, 28, 1.0, 5, 10.0]",1
Tb2Ni1B10,"[65, 2.0, 28, 1.0, 5, 10.0]",1
Dy2Ni1B10,"[66, 2.0, 28, 1.0, 5, 10.0]",1
Th2Ni1B10,"[90, 2.0, 28, 1.0, 5, 10.0]",1
Sr5B10Rh14,"[38, 5.0, 5, 10.0, 45, 14.0]",1
Cs2Na2B10O17,"[55, 2.0, 11, 2.0, 5, 10.0, 8, 17.0]",1
Na2Tl2B10O17,"[11, 2.0, 81, 2.0, 5, 10.0, 8, 17.0]",0
Cs2K2B10O17,"[55, 2.0, 19, 2.0, 5, 10.0, 8, 17.0]",1
Ca1La2B10O19,"[20, 1.0, 57, 2.0, 5, 10.0, 8, 19.0]",1
B10Pb6O21,"[5, 10.0, 82, 6.0, 8, 21.0]",1
K2Na1B1P2,"[19, 2.0, 11, 1.0, 5, 1.0, 15, 2.0]",1
Na1B1Pt3,"[11, 1.0, 5, 1.0, 78, 3.0]",1
Na3B1S3,"[11, 3.0, 5, 1.0, 16, 3.0]",1
Na8Zr6B1Br20,"[11, 8.0, 40, 6.0, 5, 1.0, 35, 20.0]",1
Mg8B1Rh4,"[12, 8.0, 5, 1.0, 45, 4.0]",1
Mg8B1Pt4,"[12, 8.0, 5, 1.0, 78, 4.0]",1
Al1B1Mo1,"[13, 1.0, 5, 1.0, 42, 1.0]",1
Al1B1W1,"[13, 1.0, 5, 1.0, 74, 1.0]",1
La1Al2B1Ru2,"[57, 1.0, 13, 2.0, 5, 1.0, 44, 2.0]",1
La1Al2B1Os2,"[57, 1.0, 13, 2.0, 5, 1.0, 76, 2.0]",1
Ti6Si2B1,"[22, 6.0, 14, 2.0, 5, 1.0]",1
Si2Ni6B1,"[14, 2.0, 28, 6.0, 5, 1.0]",1
Nb5Si3B1,"[41, 5.0, 14, 3.0, 5, 1.0]",1
B1P1,"[5, 1.0, 15, 1.0]",1
B1P1S4,"[5, 1.0, 15, 1.0, 16, 4.0]",1
B1P1I3Br3,"[5, 1.0, 15, 1.0, 53, 3.0, 35, 3.0]",1
B1P1Br6,"[5, 1.0, 15, 1.0, 35, 6.0]",1
K3B1P2,"[19, 3.0, 5, 1.0, 15, 2.0]",1
Rb3B1P2,"[37, 3.0, 5, 1.0, 15, 2.0]",1
Cs3B1P2,"[55, 3.0, 5, 1.0, 15, 2.0]",1
B1S1Br1,"[5, 1.0, 16, 1.0, 35, 1.0]",1
B1S2,"[5, 1.0, 16, 2.0]",1
K1B1S2,"[19, 1.0, 5, 1.0, 16, 2.0]",1
Cu1B1S2,"[29, 1.0, 5, 1.0, 16, 2.0]",1
Rb1B1S2,"[37, 1.0, 5, 1.0, 16, 2.0]",1
Tl1B1S2,"[81, 1.0, 5, 1.0, 16, 2.0]",0
K3B1S3,"[19, 3.0, 5, 1.0, 16, 3.0]",1
Rb1B1S3,"[37, 1.0, 5, 1.0, 16, 3.0]",1
Rb3B1S3,"[37, 3.0, 5, 1.0, 16, 3.0]",1
Cs3B1S3,"[55, 3.0, 5, 1.0, 16, 3.0]",1
