new_formula,composition_vector
Li1Nb1O2,"[3, 1.0, 41, 1.0, 8, 2.0]"
Co1H1O2,"[27, 1.0, 1, 1.0, 8, 2.0]"
Sr2Cu1O3,"[38, 2.0, 29, 1.0, 8, 3.0]"
Nb1N1,"[41, 1.0, 7, 1.0]"
La2Sr1Cu2O6,"[57, 2.0, 38, 1.0, 29, 2.0, 8, 6.0]"
La1Fe1As1O1,"[57, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
La1Ni1P1O1,"[57, 1.0, 28, 1.0, 15, 1.0, 8, 1.0]"
Gd1Fe1As1O1,"[64, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
La1Ni1As1O1,"[57, 1.0, 28, 1.0, 33, 1.0, 8, 1.0]"
Tb1Fe1As1O1,"[65, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
La3Ni4P4O2,"[57, 3.0, 28, 4.0, 15, 4.0, 8, 2.0]"
Ce1Fe1As1O1,"[58, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
Sm1Fe1As1O1,"[62, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
Pr1Fe1As1O1,"[59, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
Pr1Fe1P1O1,"[59, 1.0, 26, 1.0, 15, 1.0, 8, 1.0]"
Nd1Fe1As1O1,"[60, 1.0, 26, 1.0, 33, 1.0, 8, 1.0]"
Sm1Fe1P1O1,"[62, 1.0, 26, 1.0, 15, 1.0, 8, 1.0]"
Sn1O1,"[50, 1.0, 8, 1.0]"
Sr2V1Fe1As1O3,"[38, 2.0, 23, 1.0, 26, 1.0, 33, 1.0, 8, 3.0]"
Ba2Cu1O4,"[56, 2.0, 29, 1.0, 8, 4.0]"
Re1O3,"[75, 1.0, 8, 3.0]"
Mo1O3,"[42, 1.0, 8, 3.0]"
Fe2As2Sr4Mg1Ti1O6,"[26, 2.0, 33, 2.0, 38, 4.0, 12, 1.0, 22, 1.0, 8, 6.0]"
Fe1P1Sr2Sc1O3,"[26, 1.0, 15, 1.0, 38, 2.0, 21, 1.0, 8, 3.0]"
K1O3,"[19, 1.0, 8, 3.0]"
In2O3,"[49, 2.0, 8, 3.0]"
Ba1Ti2Sb2O1,"[56, 1.0, 22, 2.0, 51, 2.0, 8, 1.0]"
Ba1Ti2Bi2O1,"[56, 1.0, 22, 2.0, 83, 2.0, 8, 1.0]"
La1Bi1S2O1,"[57, 1.0, 83, 1.0, 16, 2.0, 8, 1.0]"
Ba2Ti2Fe2As4O1,"[56, 2.0, 22, 2.0, 26, 2.0, 33, 4.0, 8, 1.0]"
Mo1O2,"[42, 1.0, 8, 2.0]"
Sr2Cu1Br2O2,"[38, 2.0, 29, 1.0, 35, 2.0, 8, 2.0]"
Cu1Cr1O2,"[29, 1.0, 24, 1.0, 8, 2.0]"
Ce1Bi1S2O1,"[58, 1.0, 83, 1.0, 16, 2.0, 8, 1.0]"
Sr2Cu1I2O2,"[38, 2.0, 29, 1.0, 53, 2.0, 8, 2.0]"
Cs1Sr2Nb3O10,"[55, 1.0, 38, 2.0, 41, 3.0, 8, 10.0]"
Nb5Pt3O1,"[41, 5.0, 78, 3.0, 8, 1.0]"
La1Al1O3,"[57, 1.0, 13, 1.0, 8, 3.0]"
Ce1Ir1In5,"[58, 1.0, 77, 1.0, 49, 5.0]"
Ce1Co1In5,"[58, 1.0, 27, 1.0, 49, 5.0]"
Y1Ni2B2C1,"[39, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Sn1,"[50, 1.0]"
Tl1,"[81, 1.0]"
In1,"[49, 1.0]"
Hg1,"[80, 1.0]"
Pb1,"[82, 1.0]"
Be22Mo1,"[4, 22.0, 42, 1.0]"
Be22W1,"[4, 22.0, 74, 1.0]"
Be22Re1,"[4, 22.0, 75, 1.0]"
Mo1,"[42, 1.0]"
Tc1,"[43, 1.0]"
Ga1,"[31, 1.0]"
H1Pd1,"[1, 1.0, 46, 1.0]"
U1,"[92, 1.0]"
Cd1,"[48, 1.0]"
C3Y2,"[6, 3.0, 39, 2.0]"
Y2C3,"[39, 2.0, 6, 3.0]"
C3La2,"[6, 3.0, 57, 2.0]"
B2Mg1,"[5, 2.0, 12, 1.0]"
Li2Pd3B1,"[3, 2.0, 46, 3.0, 5, 1.0]"
Li2Pt3B1,"[3, 2.0, 78, 3.0, 5, 1.0]"
Pu1Co1Ga5,"[94, 1.0, 27, 1.0, 31, 5.0]"
U1Co1Ga5,"[92, 1.0, 27, 1.0, 31, 5.0]"
C2Na1,"[6, 2.0, 11, 1.0]"
C8K1,"[6, 8.0, 19, 1.0]"
Si2Ta1,"[14, 2.0, 73, 1.0]"
Ce1Pt3Si1,"[58, 1.0, 78, 3.0, 14, 1.0]"
C2Y1,"[6, 2.0, 39, 1.0]"
Ce1Cu2Si2,"[58, 1.0, 29, 2.0, 14, 2.0]"
La3Pd4Ge4,"[57, 3.0, 46, 4.0, 32, 4.0]"
Zn2Zr1,"[30, 2.0, 40, 1.0]"
B12Zr1,"[5, 12.0, 40, 1.0]"
Mg1B2,"[12, 1.0, 5, 2.0]"
Lu1Ni1B1C1,"[71, 1.0, 28, 1.0, 5, 1.0, 6, 1.0]"
Zr1,"[40, 1.0]"
Re1,"[75, 1.0]"
Zn1,"[30, 1.0]"
Ru1,"[44, 1.0]"
Os1,"[76, 1.0]"
Ca1Si2,"[20, 1.0, 14, 2.0]"
Pr1Os4Sb12,"[59, 1.0, 76, 4.0, 51, 12.0]"
La1Os4Sb12,"[57, 1.0, 76, 4.0, 51, 12.0]"
B6Y1,"[5, 6.0, 39, 1.0]"
Sc5Ir4Si10,"[21, 5.0, 77, 4.0, 14, 10.0]"
Y5Os4Ge10,"[39, 5.0, 76, 4.0, 32, 10.0]"
Bi1K1,"[83, 1.0, 19, 1.0]"
Bi3Ca1,"[83, 3.0, 20, 1.0]"
Ba1Bi3,"[56, 1.0, 83, 3.0]"
Bi2Rh1,"[83, 2.0, 45, 1.0]"
Bi4Rh1,"[83, 4.0, 45, 1.0]"
Bi3Ni1,"[83, 3.0, 28, 1.0]"
N1Zr1,"[7, 1.0, 40, 1.0]"
N1V1,"[7, 1.0, 23, 1.0]"
C1Mo2,"[6, 1.0, 42, 2.0]"
C1W2,"[6, 1.0, 74, 2.0]"
B1Mo2,"[5, 1.0, 42, 2.0]"
Mo2N1,"[42, 2.0, 7, 1.0]"
Mo1N1,"[42, 1.0, 7, 1.0]"
Ta1S2,"[73, 1.0, 16, 2.0]"
Mo1S2,"[42, 1.0, 16, 2.0]"
W1S2,"[74, 1.0, 16, 2.0]"
Mo1Se2,"[42, 1.0, 34, 2.0]"
W1Se2,"[74, 1.0, 34, 2.0]"
Ge1,"[32, 1.0]"
Si1,"[14, 1.0]"
C1,"[6, 1.0]"
Zr1N1Cl1,"[40, 1.0, 7, 1.0, 17, 1.0]"
La1Fe4P12,"[57, 1.0, 26, 4.0, 15, 12.0]"
Mg1C1Ni3,"[12, 1.0, 6, 1.0, 28, 3.0]"
U1Ni2Al3,"[92, 1.0, 28, 2.0, 13, 3.0]"
Fe1U6,"[26, 1.0, 92, 6.0]"
Be13U1,"[4, 13.0, 92, 1.0]"
U1Be13,"[92, 1.0, 4, 13.0]"
Ce1Pd2Si2,"[58, 1.0, 46, 2.0, 14, 2.0]"
Ce1Ni2Ge2,"[58, 1.0, 28, 2.0, 32, 2.0]"
Hf1V2,"[72, 1.0, 23, 2.0]"
V2Zr1,"[23, 2.0, 40, 1.0]"
Zr1V2,"[40, 1.0, 23, 2.0]"
Pd1H1,"[46, 1.0, 1, 1.0]"
C6Ca1,"[6, 6.0, 20, 1.0]"
Ca1Al1Si1,"[20, 1.0, 13, 1.0, 14, 1.0]"
La1Ru4P12,"[57, 1.0, 44, 4.0, 15, 12.0]"
B2Nb1,"[5, 2.0, 41, 1.0]"
Nb2Sn1C1,"[41, 2.0, 50, 1.0, 6, 1.0]"
C1Ta1,"[6, 1.0, 73, 1.0]"
C1Nb1,"[6, 1.0, 41, 1.0]"
Ta1C1,"[73, 1.0, 6, 1.0]"
Mo3Al2C1,"[42, 3.0, 13, 2.0, 6, 1.0]"
Bi2Ni3S2,"[83, 2.0, 28, 3.0, 16, 2.0]"
Bi2Ni3Se2,"[83, 2.0, 28, 3.0, 34, 2.0]"
Ce1Rh1In5,"[58, 1.0, 45, 1.0, 49, 5.0]"
Nb1Se2,"[41, 1.0, 34, 2.0]"
S1,"[16, 1.0]"
Ce1Ru2,"[58, 1.0, 44, 2.0]"
Cr1,"[24, 1.0]"
Co3Y4,"[27, 3.0, 39, 4.0]"
C8Rb1,"[6, 8.0, 37, 1.0]"
Bi3In5,"[83, 3.0, 49, 5.0]"
Nb1S2,"[41, 1.0, 16, 2.0]"
Cu1La1,"[29, 1.0, 57, 1.0]"
Ge1Nb3,"[32, 1.0, 41, 3.0]"
Sb1Ti3,"[51, 1.0, 22, 3.0]"
V1,"[23, 1.0]"
Nb3Sn1,"[41, 3.0, 50, 1.0]"
Nb3Pt1,"[41, 3.0, 78, 1.0]"
Au1Nb3,"[79, 1.0, 41, 3.0]"
Nb3Au1,"[41, 3.0, 79, 1.0]"
La1Os2,"[57, 1.0, 76, 2.0]"
Si1V3,"[14, 1.0, 23, 3.0]"
U2Pt1C2,"[92, 2.0, 78, 1.0, 6, 2.0]"
S2Ta1,"[16, 2.0, 73, 1.0]"
La1Ru2,"[57, 1.0, 44, 2.0]"
Pb1Te1,"[82, 1.0, 52, 1.0]"
Pr1Pt2B2C1,"[59, 1.0, 78, 2.0, 5, 2.0, 6, 1.0]"
Ho1Ni2B2C1,"[67, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
La3Pd4Si4,"[57, 3.0, 46, 4.0, 14, 4.0]"
Pd2Y1Sn1,"[46, 2.0, 39, 1.0, 50, 1.0]"
Pd2Sn1,"[46, 2.0, 50, 1.0]"
Pd2Tm1Sn1,"[46, 2.0, 69, 1.0, 50, 1.0]"
Pd2Sc1Sn1,"[46, 2.0, 21, 1.0, 50, 1.0]"
Pd2Lu1Sn1,"[46, 2.0, 71, 1.0, 50, 1.0]"
Pd2Sc1Pb1,"[46, 2.0, 21, 1.0, 82, 1.0]"
Pd2Y1Pb1,"[46, 2.0, 39, 1.0, 82, 1.0]"
Pd2Tm1Pb1,"[46, 2.0, 69, 1.0, 82, 1.0]"
Pd2Lu1Pb1,"[46, 2.0, 71, 1.0, 82, 1.0]"
C2Mo3,"[6, 2.0, 42, 3.0]"
Mo1C1,"[42, 1.0, 6, 1.0]"
C1Mo1,"[6, 1.0, 42, 1.0]"
Mg10Ir19B16,"[12, 10.0, 77, 19.0, 5, 16.0]"
Ba1Al1Si1,"[56, 1.0, 13, 1.0, 14, 1.0]"
Y1Ni1C2,"[39, 1.0, 28, 1.0, 6, 2.0]"
La1Ni1C2,"[57, 1.0, 28, 1.0, 6, 2.0]"
Ce2Rh1In8,"[58, 2.0, 45, 1.0, 49, 8.0]"
U1Ru2Si2,"[92, 1.0, 44, 2.0, 14, 2.0]"
Hg1Pb2,"[80, 1.0, 82, 2.0]"
Lu5Ir4Si10,"[71, 5.0, 77, 4.0, 14, 10.0]"
Nb2Se3,"[41, 2.0, 34, 3.0]"
Lu5Ir4Ge10,"[71, 5.0, 77, 4.0, 32, 10.0]"
Ti1Se2,"[22, 1.0, 34, 2.0]"
Cd1C1Ni3,"[48, 1.0, 6, 1.0, 28, 3.0]"
La1Ir1Si3,"[57, 1.0, 77, 1.0, 14, 3.0]"
Ce1Ir1Si3,"[58, 1.0, 77, 1.0, 14, 3.0]"
