new_formula,composition_vector
La3Mn1Al1S7,"[57, 3.0, 25, 1.0, 13, 1.0, 16, 7.0]"
Pr3Mn1Al1S7,"[59, 3.0, 25, 1.0, 13, 1.0, 16, 7.0]"
Nd3Mn1Al1S7,"[60, 3.0, 25, 1.0, 13, 1.0, 16, 7.0]"
Sm3Mn1Al1S7,"[62, 3.0, 25, 1.0, 13, 1.0, 16, 7.0]"
Ce3Al1Fe1S7,"[58, 3.0, 13, 1.0, 26, 1.0, 16, 7.0]"
Al1Cl3,"[13, 1.0, 17, 3.0]"
K1Al1Cl4,"[19, 1.0, 13, 1.0, 17, 4.0]"
Al1Cu1Cl4,"[13, 1.0, 29, 1.0, 17, 4.0]"
Al1As3Se4Cl4,"[13, 1.0, 33, 3.0, 34, 4.0, 17, 4.0]"
Al1Bi1Se1Cl4,"[13, 1.0, 83, 1.0, 34, 1.0, 17, 4.0]"
Al1Se2Cl4,"[13, 1.0, 34, 2.0, 17, 4.0]"
Al1Sb2Se2Cl4,"[13, 1.0, 51, 2.0, 34, 2.0, 17, 4.0]"
Al1Se4Cl4,"[13, 1.0, 34, 4.0, 17, 4.0]"
Al1Sb2Te2Br1Cl4,"[13, 1.0, 51, 2.0, 52, 2.0, 35, 1.0, 17, 4.0]"
Rb1Al1Cl4,"[37, 1.0, 13, 1.0, 17, 4.0]"
Al1Cd1Cl4,"[13, 1.0, 48, 1.0, 17, 4.0]"
Al1In1Cl4,"[13, 1.0, 49, 1.0, 17, 4.0]"
Al1Hg2Sb1Cl4,"[13, 1.0, 80, 2.0, 51, 1.0, 17, 4.0]"
Al1Sb2Te2Cl4,"[13, 1.0, 51, 2.0, 52, 2.0, 17, 4.0]"
Al1Bi1Te1Cl4,"[13, 1.0, 83, 1.0, 52, 1.0, 17, 4.0]"
Al1Te2Cl4,"[13, 1.0, 52, 2.0, 17, 4.0]"
Cs1Al1Cl4,"[55, 1.0, 13, 1.0, 17, 4.0]"
Al1Tl1Cl4,"[13, 1.0, 81, 1.0, 17, 4.0]"
Al1Bi4Cl4,"[13, 1.0, 83, 4.0, 17, 4.0]"
Al11Re4,"[13, 11.0, 75, 4.0]"
Al1I1Cl6,"[13, 1.0, 53, 1.0, 17, 6.0]"
Al1I3Cl6,"[13, 1.0, 53, 3.0, 17, 6.0]"
Al1Bi1Cl6,"[13, 1.0, 83, 1.0, 17, 6.0]"
Al1Se1Cl7,"[13, 1.0, 34, 1.0, 17, 7.0]"
Al1Te1Cl7,"[13, 1.0, 52, 1.0, 17, 7.0]"
K1Al1Se2,"[19, 1.0, 13, 1.0, 34, 2.0]"
K1Al1Br4,"[19, 1.0, 13, 1.0, 35, 4.0]"
K1Al1Sb4,"[19, 1.0, 13, 1.0, 51, 4.0]"
K1Al1Te2,"[19, 1.0, 13, 1.0, 52, 2.0]"
K3Al1As2,"[19, 3.0, 13, 1.0, 33, 2.0]"
K3Al1Se3,"[19, 3.0, 13, 1.0, 34, 3.0]"
Cs6K3Al1Sb4,"[55, 6.0, 19, 3.0, 13, 1.0, 51, 4.0]"
K3Al1Te3,"[19, 3.0, 13, 1.0, 52, 3.0]"
Ca11Al1Sb9,"[20, 11.0, 13, 1.0, 51, 9.0]"
Ca14Al1Sb11,"[20, 14.0, 13, 1.0, 51, 11.0]"
Ca1Al1Pd1,"[20, 1.0, 13, 1.0, 46, 1.0]"
Ca1Al1Pt1,"[20, 1.0, 13, 1.0, 78, 1.0]"
Ca1Al1Au1,"[20, 1.0, 13, 1.0, 79, 1.0]"
Ca2Al1Pd2,"[20, 2.0, 13, 1.0, 46, 2.0]"
Ca2Al1Pt2,"[20, 2.0, 13, 1.0, 78, 2.0]"
Ca3Al1As3,"[20, 3.0, 13, 1.0, 33, 3.0]"
Ca3Al1Sb3,"[20, 3.0, 13, 1.0, 51, 3.0]"
Sc1Al1,"[21, 1.0, 13, 1.0]"
Sc1Al1Ni2,"[21, 1.0, 13, 1.0, 28, 2.0]"
Sc1Al1Cu2,"[21, 1.0, 13, 1.0, 29, 2.0]"
Sc1Al1Ge1,"[21, 1.0, 13, 1.0, 32, 1.0]"
Sc1Al1Pd2,"[21, 1.0, 13, 1.0, 46, 2.0]"
Sc1Al1Ag2,"[21, 1.0, 13, 1.0, 47, 2.0]"
Sc1Al1Au1,"[21, 1.0, 13, 1.0, 79, 1.0]"
Sc1Al1Au2,"[21, 1.0, 13, 1.0, 79, 2.0]"
Sc2Al1,"[21, 2.0, 13, 1.0]"
Ti1Al1,"[22, 1.0, 13, 1.0]"
Ti1Al1Fe1Co1,"[22, 1.0, 13, 1.0, 26, 1.0, 27, 1.0]"
Ti1Al1Fe2,"[22, 1.0, 13, 1.0, 26, 2.0]"
Ti1Al1Co2,"[22, 1.0, 13, 1.0, 27, 2.0]"
Ti1Al1Ni2,"[22, 1.0, 13, 1.0, 28, 2.0]"
Ti1Al1Cu2,"[22, 1.0, 13, 1.0, 29, 2.0]"
Ti1Al1Pt1,"[22, 1.0, 13, 1.0, 78, 1.0]"
Ti1Al1Au1,"[22, 1.0, 13, 1.0, 79, 1.0]"
Ti3Al1,"[22, 3.0, 13, 1.0]"
Mn1Al12,"[25, 1.0, 13, 12.0]"
U3Al12Fe4,"[92, 3.0, 13, 12.0, 26, 4.0]"
Mn2Al1V1,"[25, 2.0, 13, 1.0, 23, 1.0]"
Al1V1Fe2,"[13, 1.0, 23, 1.0, 26, 2.0]"
Al1V1Co2,"[13, 1.0, 23, 1.0, 27, 2.0]"
Al1V3,"[13, 1.0, 23, 3.0]"
Y3Al12Os4,"[39, 3.0, 13, 12.0, 76, 4.0]"
Al12Tc1,"[13, 12.0, 43, 1.0]"
Ce3Al12Ru4,"[58, 3.0, 13, 12.0, 44, 4.0]"
Pr3Al12Ru4,"[59, 3.0, 13, 12.0, 44, 4.0]"
Nd3Al12Ru4,"[60, 3.0, 13, 12.0, 44, 4.0]"
Sm3Al12Ru4,"[62, 3.0, 13, 12.0, 44, 4.0]"
Tb3Al12Ru4,"[65, 3.0, 13, 12.0, 44, 4.0]"
Dy3Al12Ru4,"[66, 3.0, 13, 12.0, 44, 4.0]"
Ho3Al12Ru4,"[67, 3.0, 13, 12.0, 44, 4.0]"
Er3Al12Ru4,"[68, 3.0, 13, 12.0, 44, 4.0]"
Tm3Al12Ru4,"[69, 3.0, 13, 12.0, 44, 4.0]"
Mn1Al1,"[25, 1.0, 13, 1.0]"
Mn1Al1Fe2,"[25, 1.0, 13, 1.0, 26, 2.0]"
Mn1Al1Co2,"[25, 1.0, 13, 1.0, 27, 2.0]"
Mn1Al1Ni2,"[25, 1.0, 13, 1.0, 28, 2.0]"
Mn1Al1Ge1,"[25, 1.0, 13, 1.0, 32, 1.0]"
Mn1Al1Rh2,"[25, 1.0, 13, 1.0, 45, 2.0]"
Mn1Al1Au2,"[25, 1.0, 13, 1.0, 79, 2.0]"
Ce3Al12Os4,"[58, 3.0, 13, 12.0, 76, 4.0]"
Pr3Al12Os4,"[59, 3.0, 13, 12.0, 76, 4.0]"
Nd3Al12Os4,"[60, 3.0, 13, 12.0, 76, 4.0]"
Al1Fe1,"[13, 1.0, 26, 1.0]"
Al1Fe1Co2,"[13, 1.0, 26, 1.0, 27, 2.0]"
Sm3Al12Os4,"[62, 3.0, 13, 12.0, 76, 4.0]"
Tb3Al12Os4,"[65, 3.0, 13, 12.0, 76, 4.0]"
Dy3Al12Os4,"[66, 3.0, 13, 12.0, 76, 4.0]"
Ho3Al12Os4,"[67, 3.0, 13, 12.0, 76, 4.0]"
Er3Al12Os4,"[68, 3.0, 13, 12.0, 76, 4.0]"
Tm3Al12Os4,"[69, 3.0, 13, 12.0, 76, 4.0]"
Al1Co1,"[13, 1.0, 27, 1.0]"
Ce1Al1Co1,"[58, 1.0, 13, 1.0, 27, 1.0]"
Th1Al1Co1,"[90, 1.0, 13, 1.0, 27, 1.0]"
Zr1Al1Co2,"[40, 1.0, 13, 1.0, 27, 2.0]"
Nb1Al1Co2,"[41, 1.0, 13, 1.0, 27, 2.0]"
Gd2Al1Co2,"[64, 2.0, 13, 1.0, 27, 2.0]"
Tb2Al1Co2,"[65, 2.0, 13, 1.0, 27, 2.0]"
Dy2Al1Co2,"[66, 2.0, 13, 1.0, 27, 2.0]"
Hf1Al1Co2,"[72, 1.0, 13, 1.0, 27, 2.0]"
Ta1Al1Co2,"[73, 1.0, 13, 1.0, 27, 2.0]"
Al12Re1,"[13, 12.0, 75, 1.0]"
Al1Ni1,"[13, 1.0, 28, 1.0]"
Y1Al1Ni1,"[39, 1.0, 13, 1.0, 28, 1.0]"
Zr1Al1Ni1,"[40, 1.0, 13, 1.0, 28, 1.0]"
La1Al1Ni1,"[57, 1.0, 13, 1.0, 28, 1.0]"
Ce1Al1Ni1,"[58, 1.0, 13, 1.0, 28, 1.0]"
Pr1Al1Ni1,"[59, 1.0, 13, 1.0, 28, 1.0]"
Nd1Al1Ni1,"[60, 1.0, 13, 1.0, 28, 1.0]"
Gd1Al1Ni1,"[64, 1.0, 13, 1.0, 28, 1.0]"
Tb1Al1Ni1,"[65, 1.0, 13, 1.0, 28, 1.0]"
Dy1Al1Ni1,"[66, 1.0, 13, 1.0, 28, 1.0]"
Ho1Al1Ni1,"[67, 1.0, 13, 1.0, 28, 1.0]"
Er1Al1Ni1,"[68, 1.0, 13, 1.0, 28, 1.0]"
Tm1Al1Ni1,"[69, 1.0, 13, 1.0, 28, 1.0]"
Lu1Al1Ni1,"[71, 1.0, 13, 1.0, 28, 1.0]"
Hf1Al1Ni1,"[72, 1.0, 13, 1.0, 28, 1.0]"
Th1Al1Ni1,"[90, 1.0, 13, 1.0, 28, 1.0]"
Zr1Al1Ni2,"[40, 1.0, 13, 1.0, 28, 2.0]"
Nd2Al1Ni2,"[60, 2.0, 13, 1.0, 28, 2.0]"
Sm2Al1Ni2,"[62, 2.0, 13, 1.0, 28, 2.0]"
Gd2Al1Ni2,"[64, 2.0, 13, 1.0, 28, 2.0]"
Tb2Al1Ni2,"[65, 2.0, 13, 1.0, 28, 2.0]"
Er2Al1Ni2,"[68, 2.0, 13, 1.0, 28, 2.0]"
Tm2Al1Ni2,"[69, 2.0, 13, 1.0, 28, 2.0]"
Lu2Al1Ni2,"[71, 2.0, 13, 1.0, 28, 2.0]"
Hf1Al1Ni2,"[72, 1.0, 13, 1.0, 28, 2.0]"
Al1Ni3,"[13, 1.0, 28, 3.0]"
Dy3Al1Ni8,"[66, 3.0, 13, 1.0, 28, 8.0]"
La2Al1Ni9,"[57, 2.0, 13, 1.0, 28, 9.0]"
Al1Cu1,"[13, 1.0, 29, 1.0]"
Al1Cu1Se2,"[13, 1.0, 29, 1.0, 34, 2.0]"
Al1Cu1Br4,"[13, 1.0, 29, 1.0, 35, 4.0]"
Y1Al1Cu1,"[39, 1.0, 13, 1.0, 29, 1.0]"
Al1Cu1Te2,"[13, 1.0, 29, 1.0, 52, 2.0]"
Ce1Al1Cu1,"[58, 1.0, 13, 1.0, 29, 1.0]"
Pr1Al1Cu1,"[59, 1.0, 13, 1.0, 29, 1.0]"
Nd1Al1Cu1,"[60, 1.0, 13, 1.0, 29, 1.0]"
Sm1Al1Cu1,"[62, 1.0, 13, 1.0, 29, 1.0]"
Gd1Al1Cu1,"[64, 1.0, 13, 1.0, 29, 1.0]"
