new_formula,composition_vector
Mg1Co3C1,"[12, 1.0, 27, 3.0, 6, 1.0]"
Mg1Ni3C1,"[12, 1.0, 28, 3.0, 6, 1.0]"
Gd6Mg23C1,"[64, 6.0, 12, 23.0, 6, 1.0]"
Sc3Al1C1,"[21, 3.0, 13, 1.0, 6, 1.0]"
Ti2Al1C1,"[22, 2.0, 13, 1.0, 6, 1.0]"
Ti3Al1C1,"[22, 3.0, 13, 1.0, 6, 1.0]"
Al1V2C1,"[13, 1.0, 23, 2.0, 6, 1.0]"
Al1Cr2C1,"[13, 1.0, 24, 2.0, 6, 1.0]"
Mn3Al1C1,"[25, 3.0, 13, 1.0, 6, 1.0]"
Al1Fe3C1,"[13, 1.0, 26, 3.0, 6, 1.0]"
Y3Al1C1,"[39, 3.0, 13, 1.0, 6, 1.0]"
Nb2Al1C1,"[41, 2.0, 13, 1.0, 6, 1.0]"
Ce3Al1C1,"[58, 3.0, 13, 1.0, 6, 1.0]"
Gd3Al1C1,"[64, 3.0, 13, 1.0, 6, 1.0]"
Tb3Al1C1,"[65, 3.0, 13, 1.0, 6, 1.0]"
Dy3Al1C1,"[66, 3.0, 13, 1.0, 6, 1.0]"
Ho3Al1C1,"[67, 3.0, 13, 1.0, 6, 1.0]"
Er3Al1C1,"[68, 3.0, 13, 1.0, 6, 1.0]"
Lu3Al1C1,"[71, 3.0, 13, 1.0, 6, 1.0]"
Ta2Al1C1,"[73, 2.0, 13, 1.0, 6, 1.0]"
Ti3Al2Ni1C1,"[22, 3.0, 13, 2.0, 28, 1.0, 6, 1.0]"
Ta3Al2Co1C1,"[73, 3.0, 13, 2.0, 27, 1.0, 6, 1.0]"
Nb3Al2C1,"[41, 3.0, 13, 2.0, 6, 1.0]"
Si1C1,"[14, 1.0, 6, 1.0]"
Y1Mn2Si1C1,"[39, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Sm1Mn2Si1C1,"[62, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Tb1Mn2Si1C1,"[65, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Dy1Mn2Si1C1,"[66, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Ho1Mn2Si1C1,"[67, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Er1Mn2Si1C1,"[68, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Tm1Mn2Si1C1,"[69, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Th1Mn2Si1C1,"[90, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
U1Mn2Si1C1,"[92, 1.0, 25, 2.0, 14, 1.0, 6, 1.0]"
Y1Fe2Si1C1,"[39, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Sm1Fe2Si1C1,"[62, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Gd1Fe2Si1C1,"[64, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Tb1Fe2Si1C1,"[65, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Dy1Fe2Si1C1,"[66, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Ho1Fe2Si1C1,"[67, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Er1Fe2Si1C1,"[68, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Tm1Fe2Si1C1,"[69, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Th1Fe2Si1C1,"[90, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
U1Fe2Si1C1,"[92, 1.0, 26, 2.0, 14, 1.0, 6, 1.0]"
Pr2Co2Si1C1,"[59, 2.0, 27, 2.0, 14, 1.0, 6, 1.0]"
Nd2Co2Si1C1,"[60, 2.0, 27, 2.0, 14, 1.0, 6, 1.0]"
Y1Si1Ru2C1,"[39, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Y1Re2Si1C1,"[39, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Y1Si1Os2C1,"[39, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Ce1Si1Ru2C1,"[58, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Pr1Si1Ru2C1,"[59, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Nd1Si1Ru2C1,"[60, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Sm1Si1Ru2C1,"[62, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Tb1Si1Ru2C1,"[65, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Dy1Si1Ru2C1,"[66, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Ho1Si1Ru2C1,"[67, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Er1Si1Ru2C1,"[68, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Tm1Si1Ru2C1,"[69, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
Th1Si1Ru2C1,"[90, 1.0, 14, 1.0, 44, 2.0, 6, 1.0]"
La1Si1Os2C1,"[57, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Ce1Re2Si1C1,"[58, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Ce1Si1Os2C1,"[58, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Pr1Re2Si1C1,"[59, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Pr1Si1Os2C1,"[59, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Nd1Re2Si1C1,"[60, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Nd1Si1Os2C1,"[60, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Sm1Re2Si1C1,"[62, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Sm1Si1Os2C1,"[62, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Tb1Re2Si1C1,"[65, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Tb1Si1Os2C1,"[65, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Dy1Re2Si1C1,"[66, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Dy1Si1Os2C1,"[66, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Ho1Re2Si1C1,"[67, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Ho1Si1Os2C1,"[67, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Er1Re2Si1C1,"[68, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Er1Si1Os2C1,"[68, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Tm1Re2Si1C1,"[69, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Tm1Si1Os2C1,"[69, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
Th1Re2Si1C1,"[90, 1.0, 75, 2.0, 14, 1.0, 6, 1.0]"
Th1Si1Os2C1,"[90, 1.0, 14, 1.0, 76, 2.0, 6, 1.0]"
La1Cr2Si2C1,"[57, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
Ce1Cr2Si2C1,"[58, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
Sm1Cr2Si2C1,"[62, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
