new_formula,composition_vector
La1Al2Si2,"[57, 1.0, 13, 2.0, 14, 2.0]"
Pr1Al2Si2,"[59, 1.0, 13, 2.0, 14, 2.0]"
Eu1Al2Si2,"[63, 1.0, 13, 2.0, 14, 2.0]"
Gd1Al2Si2,"[64, 1.0, 13, 2.0, 14, 2.0]"
Tb1Al2Si2,"[65, 1.0, 13, 2.0, 14, 2.0]"
Dy1Al2Si2,"[66, 1.0, 13, 2.0, 14, 2.0]"
Al2Fe3Si3,"[13, 2.0, 26, 3.0, 14, 3.0]"
Y2Al3Si2,"[39, 2.0, 13, 3.0, 14, 2.0]"
Tb2Al3Si2,"[65, 2.0, 13, 3.0, 14, 2.0]"
Dy2Al3Si2,"[66, 2.0, 13, 3.0, 14, 2.0]"
Ho2Al3Si2,"[67, 2.0, 13, 3.0, 14, 2.0]"
Er2Al3Si2,"[68, 2.0, 13, 3.0, 14, 2.0]"
Tm2Al3Si2,"[69, 2.0, 13, 3.0, 14, 2.0]"
Ce1Al4Si2Rh1,"[58, 1.0, 13, 4.0, 14, 2.0, 45, 1.0]"
Ce1Al4Si2Ir1,"[58, 1.0, 13, 4.0, 14, 2.0, 77, 1.0]"
Th2Al4Si2Au3,"[90, 2.0, 13, 4.0, 14, 2.0, 79, 3.0]"
Zr5Si6H36C12Br20O6,"[40, 5.0, 14, 6.0, 1, 36.0, 6, 12.0, 35, 20.0, 8, 6.0]"
Y12Al7Si1,"[39, 12.0, 13, 7.0, 14, 1.0]"
Tm12Al7Si1,"[69, 12.0, 13, 7.0, 14, 1.0]"
Sc3Mn3Al7Si5,"[21, 3.0, 25, 3.0, 13, 7.0, 14, 5.0]"
Sm1Al8Si1Au4,"[62, 1.0, 13, 8.0, 14, 1.0, 79, 4.0]"
U6Al8Fe5Si9,"[92, 6.0, 13, 8.0, 26, 5.0, 14, 9.0]"
Mn3Al9Si1,"[25, 3.0, 13, 9.0, 14, 1.0]"
Tb1Al9Fe4Si6,"[65, 1.0, 13, 9.0, 26, 4.0, 14, 6.0]"
Er1Al9Fe4Si6,"[68, 1.0, 13, 9.0, 26, 4.0, 14, 6.0]"
Si1,"[14, 1.0]"
Sc5Co4Si10,"[21, 5.0, 27, 4.0, 14, 10.0]"
Sc5Si10Ir4,"[21, 5.0, 14, 10.0, 77, 4.0]"
